ID	Pc1.A	Pc1.R	Pc1.N	Pc1.D	Pc1.C	Pc1.Q	Pc1.E	Pc1.G	Pc1.H	Pc1.I	Pc1.L	Pc1.K	Pc1.M	Pc1.F	Pc1.P	Pc1.S	Pc1.T	Pc1.W	Pc1.Y	Pc1.V	Pc2.Hydrophobicity.1	Pc2.Hydrophilicity.1	Pc2.Hydrophobicity.2	Pc2.Hydrophilicity.2	Pc2.Hydrophobicity.3	Pc2.Hydrophilicity.3	Pc2.Hydrophobicity.4	Pc2.Hydrophilicity.4	Pc2.Hydrophobicity.5	Pc2.Hydrophilicity.5	Pc2.Hydrophobicity.6	Pc2.Hydrophilicity.6	Pc2.Hydrophobicity.7	Pc2.Hydrophilicity.7	Pc2.Hydrophobicity.8	Pc2.Hydrophilicity.8	Pc2.Hydrophobicity.9	Pc2.Hydrophilicity.9	Pc2.Hydrophobicity.10	Pc2.Hydrophilicity.10
3053|0	0.0811774458401759	0.0787253708666317	0.0	0.1183769315755466	0.0	0.0	0.2170547733018969	0.1094079483446816	0.0	0.1699849537346048	0.0843337633634824	0.0639681817312514	0.0	0.0	0.0555804385423194	0.1054124235931583	0.2104478783565273	0.2558727269250057	0.3166050317931898	0.5765405518872666	0.5793618179118708	0.5281098145135075	0.5605372597496698	0.4501817810869458	0.4409566252812336	0.5231681220312552	0.3712856821167366	0.284786943292413	0.4359153777115682	0.6603374252740877	0.643680033178018	0.6000934973533673	0.5605186373415024	0.3198051107163379	0.2728479008779557	0.459547127845623	0.5759774251488816	0.4726734519468285	0.3773410754785926	0.5882091402139351
1822|0	0.0	0.0875422476843874	0.0810059073813811	0.1316345994947443	0.0	0.0	0.0	0.1216611316935746	0.0	0.094511240522852	0.187557508316591	0.0	0.2694453218975372	0.0	0.0	0.1172181266803685	0.0	0.0	0.0	0.1282220845397154	0.5604597935152492	0.4064905571471865	0.5005125281459392	0.3556937963872744	0.4491546251834936	0.5837155809804471	0.2802553044948527	0.1852668035195517	0.338308630877941	0.503585141406205	0.8311621417742485	0.8549965950851132	0.4661853791389	0.3847315628293415	0.1465129941965205	0.3850945817188855	0.5301285969019274	0.5063132801208298	0.4043279080233396	0.5867070185183909
1027|0	0.0	0.0	0.0	0.1218849570229485	0.0	0.1155908959746535	0.2234870541364207	0.0	0.0	0.0875111751281873	0.1736658821331525	0.1975915149356769	0.0	0.0	0.0572275296620937	0.0	0.0	0.1317276766237846	0.1629937107667592	0.0	0.4007624966571922	0.3539480764625821	0.5556237453675479	0.4827543626436555	0.3811127047340212	0.247484729773498	0.4409146088903068	0.6793221794565494	0.4705786169310619	0.3536820796027647	0.4014271414418846	0.4105836863100893	0.5734340870686334	0.39717711708485	0.2989988469463673	0.6142230980135817	0.5063945988289801	0.454992409950299	0.4363664832182291	0.6700189807361793
1311|0	0.1613412049271061	0.0782338373823867	0.0723925093622869	0.2352756554274324	0.0	0.0	0.0	0.0543624218273854	0.0	0.1689236275616238	0.4190360652603715	0.0	0.4815901362911021	0.1171538784436699	0.1104668277251546	0.419017062209402	0.1045669579677477	0.0	0.0	0.1145881671541746	0.6357935322054599	0.4926145782894768	0.5945992266216082	0.4600468336617672	0.4021000669779517	0.4449171222654963	0.3867924267971501	0.3055790637375136	0.4719432196823577	0.5625486760568152	0.5798013256903586	0.5676390904654537	0.5223777265401021	0.3991966730525383	0.2888099252480097	0.4954425974771979	0.5625114841861473	0.4947503750587272	0.4143473941173224	0.5640511869359925
2612|0	0.3286609085415303	0.3984165744330843	0.1474675233109851	0.1198173626901754	0.0	0.0	0.1098479667879797	0.3322177299291642	0.0	0.1720533602486037	0.0853599512798753	0.1294931154087741	0.0	0.1193244470495202	0.0	0.2133902006346802	0.0	0.0	0.4806863054186742	0.2334223990828308	0.8397806319404901	0.621297633634298	0.6667511083122779	0.5541378099120781	0.5032441224122614	0.5609492276681611	0.4065933617980874	0.3590767673711207	0.3956850923603787	0.5193107839634723	0.4986888713644326	0.5320005875617713	0.5438969615956433	0.4226632045529495	0.2753615842350758	0.5122860953678019	0.4555219643112194	0.4340642415970307	0.3445564217240444	0.5114027991687523
1532|0	0.0857886156311742	0.1663945080261834	0.0769853325821298	0.0	0.0	0.0	0.1146921310776963	0.1156227118307781	0.0	0.0898203540902966	0.0	0.0676018036582701	0.0	0.0	0.0	0.1114002269569853	0.0	0.0	0.0	0.3655740726237262	0.2264412190658349	0.4520164691111757	0.6067793424296851	0.3975288016237265	0.1618183454243515	0.3054757021577512	0.5471589660193906	0.5657438281988529	0.5758053064399968	0.7348636898100983	0.281208539128227	0.4117813349537111	0.5864109690361796	0.4301056593704395	0.2295276289333986	0.5071109369299299	0.8956209121243	0.5975711683273404	0.1743829866849367	0.5014125568536496
2729|0	0.4083000910660775	0.0791933664859116	0.0	0.0	0.0	0.3387941827135699	0.436690180570477	0.0	0.0	0.0	0.3393403958931978	0.1286969017360981	0.4874967844526028	0.0	0.0	0.0	0.2116989195910545	0.0	0.0	0.0	0.5339428514671902	0.4143690834667065	0.5470171464742543	0.5932834670573457	0.4372508391533582	0.5351271702280223	0.4095167167640948	0.3287936781378194	0.4481336592561215	0.6458928702262197	0.5065097193274569	0.4884778455012419	0.4961583362764997	0.4849811487498786	0.324305393750185	0.5143179712033673	0.5700161713094029	0.53271780085332	0.3273963084390334	0.5236351421384753
3902|0	0.0	0.0900065993327087	0.083286258259494	0.2706803393433556	0.0	0.0	0.1240791996199816	0.0625429722468755	0.0	0.2915153168849253	0.0	0.073134726959629	0.2770303227481503	0.0	0.0	0.12051786699249	0.0	0.0	0.1809870307985274	0.2636631819273953	0.3932443333996624	0.4453714611932307	0.5258840112766174	0.4434035877445911	0.3961743972198805	0.4929776075041263	0.2460985026684106	0.1454655369212285	0.4911310001147102	0.5736401497039874	0.6180401450499013	0.7316135939021482	0.5102251258506787	0.4313489608315499	0.3633978744453426	0.5635244312631104	0.3763926451529504	0.4450087222851576	0.3402792625461814	0.4590175491786684
1971|0	0.0	0.0	0.0792435958152232	0.1287708431997378	0.0	0.0	0.1180564735316512	0.1190143516442381	0.1826088167507611	0.1849102315150325	0.0917385648874692	0.069584813441717	0.0	0.128241093910917	0.0604605968514911	0.1146680057436372	0.1144629717331003	0.0	0.0	0.1254325686892559	0.468990941108803	0.3549879268817256	0.5459469509969522	0.4864345565397714	0.4808734124259391	0.497502296930408	0.2470935237010777	0.1422086870535766	0.4219534293404571	0.5855040093519261	0.7457861467724756	0.7191666451331526	0.5075583451119368	0.4003588074472176	0.3044426095077659	0.5458918618228478	0.5799095796497118	0.4865442083725625	0.3074828539464673	0.4570656029249911
2623|0	0.0	0.0875181799120778	0.0809836366288456	0.0	0.0	0.1248027520131853	0.1206487723810926	0.0608138418506941	0.0	0.1889705135653671	0.3750118871951218	0.2844510620032947	0.5387424879313896	0.1310570279317418	0.0	0.2343718003849883	0.0	0.426676593004942	0.0	0.1281868327610898	0.615307983795375	0.5879017761115773	0.7165629711855311	0.6199769627165324	0.4690465668883626	0.6462859661275754	0.3907402517274618	0.2594816174528808	0.4100327956211936	0.5946061767041639	0.5880699622798328	0.6281355926036254	0.5034390224991635	0.3626103012703377	0.2176807967045664	0.3842589345765307	0.4318333312274107	0.4134353766323933	0.325141394893878	0.4550879848170375
3964|0	0.0865775679580926	0.1679247499274876	0.0776933257911633	0.1262516544106404	0.0	0.0	0.1157468936825855	0.0583430162462638	0.0	0.0	0.5396631086278914	0.2046705046090068	0.0	0.0	0.1185555703369201	0.1124247156683408	0.2244473856189163	0.0	0.0	0.3689360631761501	0.3158372606758087	0.3843511760439654	0.492819257982539	0.4267158465060849	0.4377709130194649	0.4451732677124404	0.4654733093299744	0.4637810861297106	0.4336869423299442	0.5712231156261317	0.4162389602257583	0.4344984711617982	0.6559993117178303	0.5307080347582499	0.2623445599791848	0.4732636983481276	0.52483147197245	0.4972623732907502	0.3665660405669652	0.5381575430044987
