ID	CIDH920105.lag1	CIDH920105.lag2	CIDH920105.lag3	CIDH920105.lag4	CIDH920105.lag5	CIDH920105.lag6	CIDH920105.lag7	CIDH920105.lag8	CIDH920105.lag9	CIDH920105.lag10	BHAR880101.lag1	BHAR880101.lag2	BHAR880101.lag3	BHAR880101.lag4	BHAR880101.lag5	BHAR880101.lag6	BHAR880101.lag7	BHAR880101.lag8	BHAR880101.lag9	BHAR880101.lag10	CHAM820101.lag1	CHAM820101.lag2	CHAM820101.lag3	CHAM820101.lag4	CHAM820101.lag5	CHAM820101.lag6	CHAM820101.lag7	CHAM820101.lag8	CHAM820101.lag9	CHAM820101.lag10	CHAM820102.lag1	CHAM820102.lag2	CHAM820102.lag3	CHAM820102.lag4	CHAM820102.lag5	CHAM820102.lag6	CHAM820102.lag7	CHAM820102.lag8	CHAM820102.lag9	CHAM820102.lag10	CHOC760101.lag1	CHOC760101.lag2	CHOC760101.lag3	CHOC760101.lag4	CHOC760101.lag5	CHOC760101.lag6	CHOC760101.lag7	CHOC760101.lag8	CHOC760101.lag9	CHOC760101.lag10	BIGC670101.lag1	BIGC670101.lag2	BIGC670101.lag3	BIGC670101.lag4	BIGC670101.lag5	BIGC670101.lag6	BIGC670101.lag7	BIGC670101.lag8	BIGC670101.lag9	BIGC670101.lag10	CHAM810101.lag1	CHAM810101.lag2	CHAM810101.lag3	CHAM810101.lag4	CHAM810101.lag5	CHAM810101.lag6	CHAM810101.lag7	CHAM810101.lag8	CHAM810101.lag9	CHAM810101.lag10	DAYM780201.lag1	DAYM780201.lag2	DAYM780201.lag3	DAYM780201.lag4	DAYM780201.lag5	DAYM780201.lag6	DAYM780201.lag7	DAYM780201.lag8	DAYM780201.lag9	DAYM780201.lag10
1775|0	0.5426893786631652	0.6497378183804846	0.6010602511772247	0.5384006280302368	0.6008799374116061	0.6231600705680608	0.4232858057008593	0.2868750891481003	0.450183396314284	0.4093398617973069	0.6221919114189491	0.6233843485095492	0.5371949671805419	0.4198705036168092	0.6321712807541527	0.6158339554813421	0.4287483256110047	0.4015161742200049	0.4106105156398041	0.4648702554854029	0.508391846768964	0.6401241858707519	0.3884834188648866	0.6043280431872745	0.4501444809485326	0.5312718210613997	0.705958094171008	0.4148770651324432	0.3262259130066446	0.3426487092308891	0.6796551953816179	0.6331225993421459	0.5642522150079163	0.2821042063396115	0.5396674454206418	0.4318732601401535	0.4146915892397802	0.2957168534110731	0.485228630097765	0.2503862488424948	0.5441576322217212	0.6111870862273138	0.416347915698685	0.5978704476210058	0.4365638458592822	0.4821252102228698	0.7519048730702742	0.4427865977701351	0.3594240045114655	0.3599481039402509	0.5375915816352271	0.701166680229026	0.4071935579729916	0.5528576296970906	0.4716978982474356	0.5801089655919257	0.7458106971123328	0.3879362647011746	0.298175798695254	0.382079172177959	0.5031890302280249	0.7136818928731987	0.6306924522645213	0.4452479362102322	0.5319615406476467	0.5906260609754678	0.6182884500532985	0.4910496067875616	0.3574802467399692	0.2009161591838108	0.4796970519890687	0.4429632739428515	0.5438480212143572	0.4177918311012383	0.4359724611803644	0.3569766885630981	0.4681861958950127	0.380131534838696	0.3890693245696645	0.3825807902755577
1030|0	0.6971636668805674	0.5310071099683663	0.3282088203324985	0.6463961521131334	0.6082336572147224	0.4031999442980706	0.6237131044549884	0.5049459410075734	0.2965200293283181	0.3948772134819789	0.7226569148949268	0.4184407240313568	0.431378891654216	0.5874148399143405	0.5204462729632928	0.4143002695489809	0.5551454136154687	0.5461967587842114	0.2951485317804532	0.3166227971103479	0.5219772442216783	0.7497451588764126	0.3652744061652853	0.4169484717444316	0.4489655185609292	0.5203438528550712	0.5278062197249386	0.384676760013626	0.2117079101150957	0.2811305999272329	0.6986441636381595	0.5501016778446901	0.3287628016687375	0.6449096033992224	0.4964566997453038	0.3206846913293991	0.5005954526463477	0.4110774022711453	0.3497401206241183	0.2330588045959825	0.5254618390063723	0.7195170890288546	0.3892934091039908	0.4185123715830516	0.4411212891269766	0.528647739291308	0.4646011307073666	0.3840240578246803	0.2652526994411228	0.2772545981831665	0.5099646507692872	0.7278481054949993	0.4102810587682655	0.4207732435000988	0.4770693971930616	0.5599315645758967	0.5250013301057248	0.3559188788308253	0.2647551666405797	0.3254708051680249	0.5522977091192911	0.4913829830844398	0.5435351776389105	0.5922247696498293	0.4885720359330645	0.5070323492942748	0.4797435170871321	0.4474452337140777	0.3609105347163933	0.1840550080364689	0.6093729791001063	0.6833615469741817	0.3389553325949982	0.6607619902373316	0.4667499111019692	0.4911107900811456	0.6451341977346672	0.5006793651615365	0.295463041394869	0.3681711546888964
5115|0	0.6027039842520929	0.6291464640443717	0.5477635208384826	0.6875647953745071	0.5158028961533552	0.3632101625082893	0.4124354129769883	0.56976788974635	0.5161533603217718	0.3750059593058547	0.3713979052850706	0.504252539440885	0.6599040798907975	0.5964313100660802	0.3782593741936311	0.3210776715249114	0.3938363003788545	0.5409981232296642	0.4656463188898275	0.4129362149784762	0.4669307888638622	0.5270205757402618	0.3627591475750534	0.4349847196574968	0.5127931067728336	0.4670480379440758	0.4067629965900345	0.2691080042667629	0.2486090597050649	0.3177667562826514	0.6215293468989632	0.3663660840932835	0.1908653045707504	0.4028347204618951	0.4606848916291669	0.3536022184503449	0.3510374471164399	0.3177348189608894	0.2945794637641765	0.1652227589512001	0.4876483509499933	0.4231859711902408	0.3350977771507754	0.4151926972844222	0.5023667996397707	0.430491070798412	0.3291319733324568	0.2079306528016509	0.2722312447890136	0.3575252438893485	0.3979979066781658	0.5677420150764603	0.3232365013860473	0.4436513649992019	0.5591308080000412	0.506178589169048	0.4545856197393805	0.3000151296842236	0.3084321449279081	0.3570675762354581	0.40886965741858	0.4522160914622439	0.3523611833500414	0.5109478478050529	0.3731143574975928	0.3680338017976324	0.3143743862695255	0.4567822357307964	0.3790563202710835	0.1646819222643901	0.2786810850573897	0.4683293000569722	0.4392614847787717	0.6754935617572707	0.5463761973794189	0.618047366184231	0.5936252755850606	0.5647449693346015	0.358352676352304	0.3272185830474161
2194|0	0.3660363181408367	0.5961857581656678	0.4908021892136304	0.5837474957222646	0.5172916454621566	0.5251815424816509	0.6340618472168171	0.3634997039421781	0.2194454851309346	0.316467831237623	0.4104747315179773	0.549527965313217	0.6616026433016894	0.5698614735142753	0.2054288143456142	0.4171081859286237	0.6134491908666372	0.5129696670101032	0.405492900804781	0.3538437391843504	0.5488537017237657	0.5357985440409796	0.2417260506369391	0.5511621185738678	0.329237560557284	0.57752293259025	0.335768220685522	0.3569120903750115	0.2697312152798037	0.3624776926960246	0.6536064177541311	0.592871645420636	0.6500207626844892	0.7002380877324551	0.5453703427504387	0.5040552692727078	0.4345632820650549	0.4535936706133057	0.4888955445008934	0.1946466412867186	0.5675879274172305	0.4944925940291359	0.2574779344544822	0.5318653250281605	0.2946875417758022	0.5849572020160223	0.2775611393092373	0.3621983862449985	0.297138463525517	0.4177115332451404	0.5283423145867907	0.5256275664224661	0.2933686911372857	0.5758072450610396	0.4102662329451479	0.6075168605114335	0.3292709550575923	0.3590639001140949	0.2770806284589571	0.3918604641997285	0.5240030510925525	0.432832149478723	0.4658884178702419	0.6315770003054914	0.2465636991674771	0.4496461051444775	0.4697600363601326	0.4318766040522371	0.2685322400046638	0.1591888545862811	0.579569763167294	0.6473501603625964	0.5084334263675488	0.4751185954924896	0.4292562086722662	0.6525309840662159	0.3132571100569731	0.5359152851768852	0.2949904285867613	0.3072995488408259
2160|0	0.5187440332550542	0.6337184995270796	0.7006830067786741	0.5861617404471529	0.5672005459396514	0.4344758492826875	0.3774638516153399	0.2513565601365355	0.3909237459098585	0.3480826846217896	0.4842852146083397	0.5580519321348258	0.7579902263939878	0.7390511863170226	0.631831071090963	0.6070378045642326	0.4821348953061499	0.3520656480919836	0.3697200119334299	0.3459815712669275	0.4382886021062488	0.4881477569062904	0.4925045129543747	0.7540257909482416	0.3922170936012256	0.6318670462427993	0.5905323986681097	0.4229829556991988	0.5097350549410007	0.2971187132710933	0.7713218833327761	0.508160302139127	0.3177370808260047	0.7178506488846257	0.5104213610038477	0.4441194756007703	0.5083816404834492	0.5486362869427751	0.1676775706835265	0.3025329331917975	0.4488779217222626	0.4115332871726502	0.4011435737437757	0.7074870233827955	0.3898092182732205	0.658125766408494	0.5973892864142547	0.4563990492394338	0.5230925183331601	0.3689198012931116	0.4004528781250167	0.5539503888007383	0.5068805082823029	0.7014323054480608	0.4223686027093479	0.6195615616151556	0.6464528277563126	0.4182459781868954	0.4804644193994786	0.3016234766536567	0.5262333033045128	0.4920513366814061	0.4801288241836082	0.6778940028288704	0.4204515061199108	0.5254749223440616	0.5316406336057075	0.3803352842163094	0.3282960075808754	0.1584100567589079	0.5429051677048893	0.7020161884043683	0.5792018473968544	0.3104969666817111	0.3945749172053386	0.4961506475573332	0.5728228751107872	0.4375033090712565	0.3533437444953651	0.1893855320568169
4034|0	0.5905487360562183	0.6801333729206777	0.3928227240292007	0.3735031771484267	0.7131917339869767	0.6309926930027091	0.5330225599466578	0.3160151035580549	0.5188770666564653	0.505806996670377	0.8594546948600004	0.5269734815137828	0.2945174797231527	0.6041308430302061	0.4747963935243287	0.3957493069918376	0.53540919250305	0.4839740323327212	0.3293490725149057	0.2421286291671435	0.3858128680453311	0.6156740416315022	0.4721481170931275	0.5501057866857684	0.4916325984500276	0.5025374841733	0.4814623995512795	0.3022018226481687	0.2079273655992279	0.2126362224290047	0.8013547963700439	0.4473947596475481	0.5650692335383884	0.4159976200746388	0.5102683128939247	0.0960027292159904	0.6052875467500091	0.3864597971055454	0.3461072290523999	0.1249690333869599	0.3593416313084053	0.522677537131432	0.5315904490440718	0.5463475366293392	0.4477320660150689	0.4995445752588489	0.5176834481297545	0.2967057711357139	0.2461439976279996	0.2485481973059801	0.3190796225393985	0.6125370377935555	0.4601123964266727	0.4723024654429987	0.5268303688826558	0.5691399957940132	0.537298457291849	0.347245412777	0.2545870178575757	0.3062694359535862	0.2771096426190721	0.4026830555041099	0.4302913650127258	0.5135804705029401	0.5049979199882829	0.467426186635548	0.5904756384334662	0.6488659374475342	0.4254041504550966	0.2337471893728014	0.54483800075206	0.7718446950264205	0.4255288105002245	0.4053230495288336	0.3635149185698132	0.666609146092759	0.4116988183955658	0.4078759073253934	0.3220418788956973	0.3900984815648921
1077|0	0.7503027608422743	0.4281036176332106	0.5575726953970728	0.5378517406224351	0.4018258463503655	0.6219139668718013	0.3018684662938289	0.5470804332505709	0.2752666002733722	0.4355578905966575	0.6918575396569382	0.4526015355980794	0.5126718242320685	0.5716435897102633	0.6647726428888434	0.6178873803766153	0.3066390372665127	0.623621545018294	0.2466737350891494	0.3688942368433924	0.6175207016301306	0.6683559652841684	0.5167864177713366	0.4210524337315938	0.4302356859121982	0.6446766170492892	0.512031240747018	0.3521823730350882	0.2125067765217357	0.3680970189273759	0.5104277329556446	0.4501646745605196	0.4288405196873699	0.4241853198551808	0.4203550558818341	0.1987940762836582	0.2892170728457921	0.3393978880473555	0.2697158061860515	0.1381920684821798	0.6433404268801064	0.6106883615885721	0.5171142876139514	0.4246416136469837	0.463188100849527	0.6063035322378735	0.5089308369670296	0.3020952288121588	0.2730186966818225	0.4042792842287688	0.6220662683003791	0.6333008222657173	0.5264372973956659	0.4365779473086986	0.4920887891696976	0.6109618908552138	0.5325965058354485	0.3871833181764393	0.2280913461162203	0.4189201326860742	0.6843842585957479	0.4224867394045886	0.594824607432893	0.6137311623225159	0.5340018757181001	0.5032150245940705	0.3334516235350476	0.5429978783427304	0.2880952750918241	0.2127005805075746	0.5089783490433473	0.7186508860151732	0.6183751363028717	0.5000535455827728	0.3707630795881907	0.397013439358775	0.4568012921179706	0.5429562415058972	0.2904060653639995	0.3465447189114284
4100|0	0.5319021674727694	0.6568661988603552	0.3899637890475239	0.3171989956125023	0.5097360493872143	0.6423130672986225	0.56579385351901	0.2974623895991501	0.4131321168008305	0.486394658399408	0.5496414880918796	0.5355191365584318	0.3169966736644285	0.3703783866049516	0.5730215255909855	0.7054585850575887	0.6054797575127834	0.5262371557640462	0.4571676234826715	0.4927280896456811	0.3930298914990987	0.4546742760062358	0.2702010922124694	0.3912372330892266	0.4093029313826576	0.500735222769673	0.5563804572408736	0.4528130309342517	0.4264365489996802	0.4545862983714753	0.4310353082927965	0.2966929682613223	0.3471328350188297	0.4396671739000647	0.3518653493022218	0.1415366173902603	0.3015609693632636	0.3222449622532062	0.3882013260494584	0.2229388210005955	0.405188395176354	0.3714238116620213	0.2826238204838888	0.4944548764561098	0.3958028806673339	0.4911571363407433	0.5831336852894029	0.4271293675761707	0.4829486164032069	0.5105321499477654	0.3681418140186758	0.5062198655624381	0.2985741864320084	0.4053295613131072	0.5067036305685444	0.5280712526309546	0.6181405624676979	0.4139749112730411	0.4241319950372918	0.5285451157570331	0.3594832655158103	0.3742898676679119	0.4074594387834569	0.5559790671981156	0.5754528900294366	0.5375911865794932	0.6988228654763148	0.5961855690203995	0.4365243166254883	0.3116877652040172	0.4340511218583817	0.576499100287769	0.4009188708181469	0.2839881317540618	0.4117271614141909	0.6182815206901415	0.5498783516980067	0.3409062489420659	0.388566168753901	0.4360874020483614
2006|0	0.5924821092949223	0.8714931983922329	0.6141480465257029	0.2862427217649607	0.5561251129381617	0.6435745462804052	0.5018426949960997	0.4075820359264194	0.4573086398967061	0.3696521827473831	0.6287355351390769	0.664817343536533	0.8047149091414966	0.3436647665711791	0.4451265865686176	0.5233794266527503	0.6061255384682362	0.5371705271865351	0.4295831518758389	0.3631210753093896	0.5800560803082535	0.7350814207742186	0.3523242276315128	0.3954999578131593	0.5454775865347791	0.6228851531066049	0.4847356693236654	0.382674897880508	0.5793172527519782	0.3101309001301517	0.6190335076059653	0.6295825766352394	0.271331337114403	0.6120269280205799	0.4875292934066727	0.6366562885671676	0.6400077186703221	0.5337422704583613	0.4268780011793103	0.1694626595302209	0.5701031141586168	0.6143405695930841	0.3266001263043178	0.4526092548370605	0.4842737621055884	0.535934451237828	0.5080595094559345	0.3814535904295711	0.5932099695861939	0.3418494984000197	0.5458548199649756	0.7447605771365028	0.3834891599882294	0.353102142668815	0.562480035739943	0.6168509491006687	0.5124810598766285	0.3246595264404623	0.5650407393971129	0.3569727930168847	0.5512435072833236	0.65680502782939	0.534237586391635	0.420147817304618	0.6077881539840224	0.5278015197473609	0.6024342757882966	0.4813533451691779	0.5180774024683953	0.1899039514902863	0.3631002585110133	0.865878572238924	0.7432367846486525	0.5451657759792886	0.4593787681003516	0.5009060368082683	0.3792789420841107	0.4656735066190278	0.447501689931117	0.2553776480823034
1401|0	0.6377709214387524	0.2962235376928632	0.6040356506497989	0.4858044148368917	0.4621376408566747	0.6257402827099203	0.5703026024188944	0.4325656853388233	0.3620512473635076	0.301134647746505	0.8189133218680721	0.1765717981150443	0.583298113056629	0.4563197254396752	0.4340290117287018	0.5799754673754937	0.568991116368686	0.5334245083767001	0.4137840168563505	0.346376472026967	0.6405056488612668	0.4963368994314625	0.4338371863934246	0.4079762443510548	0.4330355088183428	0.516177739410734	0.529092482217848	0.3691770170144944	0.2928909789333108	0.1817102113344197	0.4989429471889775	0.4188966420404519	0.5891046140737566	0.5091682729835324	0.5601016030068784	0.5060044656828092	0.4088973082640984	0.4526134060908888	0.4665258754152726	0.2246539662702777	0.690203524900735	0.415407561204325	0.415808816253431	0.4277060013619169	0.3891349373661169	0.461897768906642	0.4994543063045068	0.3717518949793309	0.341699343262326	0.198402432440295	0.6398593693902749	0.4944981652580271	0.4222497052825615	0.3926928210397363	0.4704208920636897	0.5325721203151692	0.5427543826635971	0.3192021749907847	0.3015479465698299	0.1814445466679029	0.7718199127941249	0.3193165928874735	0.4409741447117957	0.4461094006080363	0.349091381925854	0.3836027181496506	0.4702918231366297	0.3208885879326755	0.3665806019096966	0.1212270814755208	0.5499102961987249	0.5782977013120444	0.3858420069051855	0.6780117517794139	0.3881308520855301	0.4309985347079804	0.6935147751703495	0.4894853220266927	0.3260576056601899	0.4302902628526569
