ID	Schneider.Xr.A	Schneider.Xr.R	Schneider.Xr.N	Schneider.Xr.D	Schneider.Xr.C	Schneider.Xr.Q	Schneider.Xr.E	Schneider.Xr.G	Schneider.Xr.H	Schneider.Xr.I	Schneider.Xr.L	Schneider.Xr.K	Schneider.Xr.M	Schneider.Xr.F	Schneider.Xr.P	Schneider.Xr.S	Schneider.Xr.T	Schneider.Xr.W	Schneider.Xr.Y	Schneider.Xr.V	Grantham.Xr.A	Grantham.Xr.R	Grantham.Xr.N	Grantham.Xr.D	Grantham.Xr.C	Grantham.Xr.Q	Grantham.Xr.E	Grantham.Xr.G	Grantham.Xr.H	Grantham.Xr.I	Grantham.Xr.L	Grantham.Xr.K	Grantham.Xr.M	Grantham.Xr.F	Grantham.Xr.P	Grantham.Xr.S	Grantham.Xr.T	Grantham.Xr.W	Grantham.Xr.Y	Grantham.Xr.V	Schneider.Xd.1	Schneider.Xd.2	Schneider.Xd.3	Schneider.Xd.4	Schneider.Xd.5	Schneider.Xd.6	Schneider.Xd.7	Schneider.Xd.8	Schneider.Xd.9	Schneider.Xd.10	Grantham.Xd.1	Grantham.Xd.2	Grantham.Xd.3	Grantham.Xd.4	Grantham.Xd.5	Grantham.Xd.6	Grantham.Xd.7	Grantham.Xd.8	Grantham.Xd.9	Grantham.Xd.10
1182|0	0.121893665735956	0.1680891230942419	0.0806258534854265	0.1773597015167024	0.0	0.276996599136512	0.0430770722219342	0.0541749625493138	0.0394706410535299	0.1836378403843124	0.0268752844951421	0.1028703740216796	0.0	0.0846413613322859	0.0	0.0	0.0774880567753502	0.0800681021704591	0.0	0.1654345007142271	0.2001231606577075	0.059537373668192	0.0878674278474401	0.1859819018497805	0.0	0.2301266135746552	0.0291944004659014	0.1304830260957599	0.016007451614898	0.1051444242714023	0.0196250296017545	0.0511575339371629	0.0	0.0635874454322451	0.0	0.0	0.1534177423831035	0.0335627996479255	0.0	0.1170303204904113	0.5430048929110338	0.5219653616278848	0.5119183768578965	0.528051708320545	0.7822540507719565	0.6545200929956133	0.4699978095891196	0.7312410800842004	0.7244069589903962	0.6884310848094117	0.3545903810564759	0.3566248997668619	0.325734346293438	0.4245656552482061	0.6851164700621759	0.5497750618066322	0.5083715863090592	0.7650520947775438	0.6710308855854543	0.6353401877327531
2807|0	0.1964036235860085	0.315976481950419	0.3031234034612884	0.0	0.0	0.0	0.0	0.1018389159334859	0.0	0.0	0.2020822689741923	0.0	0.0	0.0	0.4827233574219743	0.1822039276614778	0.0	0.0	0.0	0.0	0.3649172307921597	0.1266582490116072	0.3738537281921212	0.0	0.0	0.0	0.0	0.2775861713875744	0.0	0.0	0.1669990953925579	0.0	0.0	0.0	0.4078502819175144	0.1244282833211751	0.0	0.0	0.0	0.0	0.7644435688226556	0.4987500527743853	0.5822370768553768	0.5495138426204557	0.3250315403713945	0.4413340062031317	0.4906747509219821	0.2705536580066631	0.2549011263977253	0.1650735413480629	0.6780061799471405	0.3603535534369119	0.4906368313920263	0.6861892964100177	0.5490095144937229	0.4200229485796114	0.7354331973253773	0.3320112684680192	0.4721192882495455	0.2792910671252441
5281|0	0.0328190489998938	0.0395997568219648	0.0	0.0	0.0638933591863955	0.1957711081668359	0.1623749642512592	0.089340744499711	0.1115856463681243	0.0432628458561972	0.1266298152953134	0.048470022574383	0.0	0.0	0.0	0.1370082580108015	0.0365104909636545	0.0754522914220625	0.0789934347690355	0.1039316267092989	0.0391682287416892	0.0101961051384293	0.0	0.0	0.2370060397400047	0.1182313731321736	0.0799952455444696	0.1564215885952821	0.0328963774398435	0.0180065652637881	0.0672179012394632	0.0175220223032696	0.0	0.0	0.0	0.0600995451383847	0.0525472769476327	0.022991261647345	0.0252409557578026	0.0534455756034046	0.488095616629798	0.455216737966571	0.6459316254376419	0.645074810463131	0.7770530857173179	0.6710560436092545	0.7784573001496692	0.6318035262288653	0.4398243976064246	0.6746366605096603	0.2718185512327556	0.2778552604033519	0.2954761339132143	0.5133950748316957	0.640864339308413	0.5700474554788516	0.7879535326185384	0.726442445884843	0.5220447700042206	0.7394872968932489
3989|0	0.1129447590151549	0.1362801521558416	0.0	0.1437963781598124	0.0	0.1122890582747875	0.3492522210102773	0.0658844427588404	0.0	0.1488864500477696	0.0	0.0834033158477646	0.0	0.0	0.0	0.0	0.0314121579469616	0.0	0.1359255482052045	0.0	0.2410896003776492	0.0627594096593915	0.0	0.1960468466827749	0.0	0.121290288141953	0.3077433930510621	0.2063167347785417	0.0	0.1108346168076814	0.0	0.0539260708310671	0.0	0.0	0.0	0.0	0.0808601920946353	0.0	0.0776819903821892	0.0	0.6309706216266797	0.3729723572313126	0.7155915380917626	0.7627160164306483	0.6398245897814737	0.4557087871513697	0.5081488751397071	0.6215500226214647	0.357920225129804	0.7381777281771068	0.339988622313369	0.3269799376601998	0.3632924663371681	0.6981841932247399	0.5224974803961066	0.5183587522470698	0.5955198428349527	0.6744743662297199	0.4986348803842676	0.706477218341151
1255|0	0.0767464333074586	0.0926029299611434	0.1776721807081433	0.7816818942304602	0.0	0.0	0.0	0.0596916703502456	0.0	0.2023379235762895	0.1184481204720955	0.1133457997191795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2430412184645174	0.1135598016725859	0.0295614000058287	0.1745111698448453	0.7387474529953466	0.0	0.0	0.0	0.1295744400780814	0.0	0.1044122772896198	0.0779535024056512	0.0508013112051723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1549538787119042	0.7584914602288444	0.4795550569504225	0.5534270945347977	0.5162979438440233	0.8158492875123075	0.2458812398376436	0.5195778597680362	0.706935108599902	0.4305534491382189	0.3220405730521366	0.5033918355566407	0.3539790484482725	0.5218821372748602	0.4127625348475887	0.6466878761341042	0.4586741548071104	0.5388280016988074	0.793186710967188	0.3554033840973577	0.5898431915808338
2810|0	0.0	0.3064220834551822	0.0	0.3233221059120327	0.1648018221329588	0.0	0.1570567562779633	0.0987595424967498	0.0	0.0	0.0	0.0	0.0	0.0	0.4681269188158508	0.35338900403675	0.0	0.0	0.0	0.0	0.0	0.101473887645774	0.0	0.3169825178656574	0.7862454640417021	0.0	0.0995162913726346	0.2223917367184031	0.0	0.0	0.0	0.0	0.0	0.0	0.3267545067657015	0.1993746438186173	0.0	0.0	0.0	0.0	0.8166575205486275	0.4888366333888989	0.476721144107225	0.6239647049567296	0.6160070778608447	0.1976234120698063	0.5226593552443665	0.3641948585342947	0.0185665796700315	0.2684266800444059	0.6171362829753778	0.4579810641926763	0.3210703126917622	0.7100841240696892	0.6433298736237564	0.4798767120855267	0.5728850306387787	0.6473362368938819	0.1858951331619323	0.3059722740600488
3936|0	0.0675193986062088	0.0	0.1042073946064985	0.2292340682828557	0.0292109567032235	0.0	0.0556763031889658	0.0700201170731055	0.0	0.059337111082713	0.0694715964043323	0.1994370266281817	0.2752505835824307	0.0	0.0	0.1252756888571842	0.0250379628884772	0.3104595346619918	0.0	0.071273657072346	0.0732602322860239	0.0	0.07505431001133	0.1588614081450758	0.0985102131233936	0.0	0.0249371767996565	0.1114555613123361	0.0	0.0224529794730373	0.0335264862485564	0.0655463606753368	0.1755864850420724	0.0	0.0	0.049960068584716	0.0327614654262218	0.0860056848596012	0.0	0.0333215245208695	0.6167793818322738	0.2829092149996124	0.6210303220839999	0.6372121917082917	0.6192031773000913	0.56845849491499	0.6914301295370064	0.8300717260340295	0.6462364221002004	0.5528532716100353	0.2425852700535973	0.2919948396997022	0.3101406866979284	0.5933772041630749	0.5642487624511984	0.429956244993572	0.7175874907464002	0.9141015785171036	0.6239312665187723	0.6785429053521551
882|0	0.1009708618375327	0.609161705886639	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1331021758631307	0.0779176848466069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4796329985543732	0.3579036098713243	0.4658396553667408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1645367920973652	0.1228420598757998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7325464434296636	0.6987627655559145	0.7753400249816742	0.5162849975905268	0.3175365123137628	0.4933533160812818	0.7359910950558647	0.506605428284886	0.0034277813865973	0.3542905828518324	0.3818938555310665	0.6040227477757175	0.6754256875138029	0.4214575513545605	0.3524109459906734	0.542508722196277	0.7278906312132314	0.6081387899223858	0.0178160512073729	0.5081905724628347	0.457717622619517
3176|0	0.0	0.0	0.0	0.7237589909791425	0.0	0.1883918926540144	0.3515727423881211	0.0368456643906147	0.0	0.0	0.0731140487275036	0.0	0.2896821956298766	0.4605326219284923	0.0	0.0	0.0	0.0	0.0	0.3000423716101572	0.0	0.0	0.0	0.7341633725749966	0.0	0.1514040963671248	0.2304897336049746	0.0858469359558345	0.0	0.0	0.0516465232226224	0.0	0.2704855919010747	0.3346818367998871	0.0	0.0	0.0	0.0	0.0	0.2053231438835163	0.726402550388783	0.4512065369754127	0.5305996799134796	0.6206950590095385	0.55299046543074	0.3685348597097973	0.5200092861225528	0.45408465281379	0.5507944445958508	0.2443246759317868	0.6377201335994203	0.4058340140871376	0.4029772554318354	0.5614269256025552	0.6987730460498743	0.3179577815294638	0.6622162414914767	0.4105752829984862	0.6522105282469787	0.2933284465183664
899|0	0.0	0.0597690150202158	0.0	0.378392645596326	0.0	0.2954827818048036	0.4901541047776055	0.0192634959997627	0.0	0.0	0.0	0.0	0.0	0.1203868686723897	0.2739308263286213	0.137860251141729	0.0826594501304509	0.0	0.1192269894594434	0.3137337931539015	0.0	0.0228331563572212	0.0	0.4279551061371207	0.0	0.26476731971712	0.358282682367976	0.0500414975207344	0.0	0.0	0.0	0.0	0.0	0.0975455915810012	0.2205740880684203	0.0897246084010733	0.17651154647808	0.0	0.0565245926360067	0.2393720283944062	0.4157386706525171	0.487812416276345	0.7078614197598916	0.6210814532286326	0.5848718983418942	0.6019128783262662	0.5134722957698944	0.7812462532737207	0.5896188956657019	0.6273950829383392	0.1499331939105904	0.3790655047388879	0.4973445515821182	0.593032862922331	0.6482170590758699	0.5713008858590524	0.468334811278485	0.5876944643756267	0.6163350251209558	0.7374003916787687
