ID	Schneider.Xr.A	Schneider.Xr.R	Schneider.Xr.N	Schneider.Xr.D	Schneider.Xr.C	Schneider.Xr.Q	Schneider.Xr.E	Schneider.Xr.G	Schneider.Xr.H	Schneider.Xr.I	Schneider.Xr.L	Schneider.Xr.K	Schneider.Xr.M	Schneider.Xr.F	Schneider.Xr.P	Schneider.Xr.S	Schneider.Xr.T	Schneider.Xr.W	Schneider.Xr.Y	Schneider.Xr.V	Grantham.Xr.A	Grantham.Xr.R	Grantham.Xr.N	Grantham.Xr.D	Grantham.Xr.C	Grantham.Xr.Q	Grantham.Xr.E	Grantham.Xr.G	Grantham.Xr.H	Grantham.Xr.I	Grantham.Xr.L	Grantham.Xr.K	Grantham.Xr.M	Grantham.Xr.F	Grantham.Xr.P	Grantham.Xr.S	Grantham.Xr.T	Grantham.Xr.W	Grantham.Xr.Y	Grantham.Xr.V	Schneider.Xd.1	Schneider.Xd.2	Schneider.Xd.3	Schneider.Xd.4	Grantham.Xd.1	Grantham.Xd.2	Grantham.Xd.3	Grantham.Xd.4
2|1	0.2234083722217598	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4781130848507021	0.3627116865216688	0.0	0.1793680250226267	0.0	0.0	0.0	0.0	0.0	0.0	0.1842215134571506	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.391179318982738	0.2270849896973333	0.0	0.1381661350929567	0.0	0.0	0.0	0.0	0.0	0.0	0.5385280675852815	0.7620512694047821	0.4605492520492778	0.4475409524535128	0.3517924650310799	0.6536831199918604	0.3846738854340373	0.489573140271996
3|1	0.0483482262283054	0.0	0.0358088396375796	0.0	0.3716837053042677	0.0	0.1262775645497671	0.0752083519106973	0.0	0.2084323701621699	0.2483264457014644	0.1883882846595502	0.0	0.0	0.1746192092390762	0.3239334499715958	0.1040903740794311	0.0	0.348976951269813	0.3709149459058748	0.0092532825803755	0.0	0.0002959986065394	0.0	0.4477575231781756	0.0	0.0042080815921597	0.0420434568741769	0.0	0.0437313593919715	0.0471566132778231	0.0273750643776445	0.0	0.0	0.0179544814598814	0.0801184229915988	0.0375769752039794	0.0	0.0614622054429609	0.0763276471479609	0.613445685604883	0.5068211362028553	0.6707186615695848	0.625470826140258	0.2579431065671255	0.4973304716275556	0.5394283511743022	0.6897717023767937
4|1	0.1304365060739098	0.152962141716892	0.0241517646729731	0.0	0.0	0.121703281993622	0.1703392823308084	0.0760879618764473	0.0	0.281160160750019	0.1116581257469458	0.2117684517888165	0.0	0.0	0.0588871643371672	0.2913084974771751	0.0351025926130525	0.0864587812470446	0.0	0.0	0.0639679371177245	0.0640384811979141	0.0005115595488839	0.0	0.0	0.0590113187378866	0.0145452328044325	0.1089923973808039	0.0	0.151157431071596	0.0543322733786399	0.0788515850768021	0.0	0.0	0.0155149149913947	0.1846195372428155	0.0324712009771034	0.0256153924791693	0.0	0.0	0.6152586266417013	0.6626326596184783	0.6735774164782343	0.7623197815425071	0.2423744520940962	0.512094151130727	0.5738726788176832	0.6508734442037849
7|1	0.0769224167147573	0.9922712403893688	0.0284860759075913	0.1634280137442301	0.0	0.1435443321022773	0.1004543103210583	0.0598285463337001	0.0639661678225356	0.2487131827559023	0.0658482286655893	0.0	0.1501214066734649	0.0	0.0	0.0858967872950838	0.0	0.0	0.0	0.0983547769328488	0.0435397933365399	0.4794659010171608	0.000696386284796	0.0074251624197057	0.0	0.0803321394477905	0.0099002165596079	0.09891427218151	0.0317910292750836	0.1543280182232728	0.0369812762612115	0.0	0.0749291359345027	0.0	0.0	0.0628306684538412	0.0	0.0	0.0	0.0598578568167547	0.5985866474315007	0.7680195724899372	0.6243038414149513	0.5632948327675195	0.3080168010855099	0.5902265370524439	0.5160388615538299	0.5013175845422078
8|1	0.1551324304041024	0.0	0.0	0.0	0.0	0.0	0.0	0.0603292784904842	0.1290030592089146	0.0	0.6639934226571307	0.100745276296493	0.0	0.4982051009426535	0.0	0.1732313926953644	0.0	0.0	0.0	0.0	0.0902060660628764	0.0	0.0	0.0	0.0	0.0	0.0	0.1024656605739841	0.0658648897303867	0.0	0.3830904092404854	0.0444778532064287	0.0	0.2706181981887258	0.0	0.1301730438983359	0.0	0.0	0.0	0.0	0.4963376266395	0.5743007062769416	0.4769287356065931	0.2494469321954271	0.2823016018118968	0.7354788901001545	0.5008377521526037	0.334397574540051
9|1	0.1062260081846042	0.1868559447852679	0.0196689226739189	0.0376143181381561	0.0	0.0	0.1387223756881309	0.1032752857350319	0.0	0.343460459452503	0.0454665543277884	0.2414465486548563	0.1036550751721276	0.085285744238792	0.0479570374056444	0.0593095824333889	0.0	0.0704110488759596	0.0	0.135823025142414	0.0555193209831383	0.083370821846806	0.0004439949148931	0.00157801995271	0.0	0.0	0.0126241596216803	0.1576618997881763	0.0	0.1967897898412582	0.0235781475952623	0.0958120790325328	0.0477725596534429	0.0416394907373686	0.0134657702631256	0.0400589412828753	0.0	0.0222322191591514	0.0	0.0763271322921773	0.7548294198877463	0.7716554787632179	0.5999224695666288	0.6521164999778748	0.30198189180327	0.5380742330458064	0.4929823066857199	0.6159361705483626
11|1	0.1950602298743877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4452753365064067	0.3377999335056375	0.0	0.4176216894658912	0.0	0.0	0.0	0.0	0.0	0.0	0.1685984583483029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3818720416483497	0.2216819868415431	0.0	0.337196916696726	0.0	0.0	0.0	0.0	0.0	0.0	0.5956002241353126	0.7298270867280316	0.4756643622224438	0.1905848213250177	0.366098000756775	0.6854328443586446	0.4857002451622994	0.3054868416803072
12|1	0.0662287786242562	0.2071096224328459	0.0163506564642786	0.0312685551827703	0.0282857186489342	0.4943560641793826	0.2882976798460954	0.0343408481755402	0.110147375734959	0.0951722009160128	0.30236857310498	0.0573465873331539	0.0861678371010015	0.0708975233909433	0.0797327903173887	0.0986073943637039	0.0237643269795445	0.0	0.0	0.0564544296822998	0.0316025941299511	0.0843665215704001	0.0003369731676027	0.001197649712121	0.0849566335617186	0.2332306888952183	0.0239529942424216	0.047863457890882	0.0461499202528692	0.0497850137545245	0.1431584518627593	0.0207763639261917	0.0362573313588172	0.0316025941299624	0.0204398884201997	0.0608060492681571	0.021389344550389	0.0	0.0	0.0289645158984725	0.6253487670443588	0.7129648008198726	0.6657077519648914	0.9283349606050528	0.253236689929161	0.543435794416281	0.4613888328891644	0.714869026549242
14|1	0.0528127621521398	0.0	0.0	0.0	0.0	0.0	0.1379381934349834	0.0821531855699952	0.2635042021253082	0.2276792769645989	0.3616762953822601	0.0685947651453489	0.0	0.0	0.190743766300551	0.2358972476837383	0.0	0.0	0.0	0.9453866281815224	0.0277451491366592	0.0	0.0	0.0	0.0	0.0	0.0126175603456997	0.1260635856586356	0.1215504412196903	0.1311246120217203	0.1885265770005783	0.0273605695127117	0.0	0.0	0.0538349241416523	0.160152001929217	0.0	0.0	0.0	0.5340106261325775	0.5360079227688551	0.6712662981646547	0.5590354090321153	0.5297438185511741	0.2914745023265642	0.7341647004577538	0.3973717795041269	0.4404919009162428
15|1	0.0	0.1049288094313953	0.0331352043630865	0.0633668726624581	0.3439322708675905	0.0	0.1168491621113084	0.1043894804576385	0.0	0.28930492796357	0.0765951239075401	0.1162149602348381	0.0	0.1436764286209503	0.1615814207446473	0.3996629947049578	0.0	0.0	0.161460448249165	0.4576278802777789	0.0	0.0178994490703386	0.0002859728688253	0.001016387525629	0.4325915751374818	0.0	0.0040655501025161	0.0609291110431692	0.0	0.0633752086665052	0.0151864588607444	0.0176318976314967	0.0	0.0268195968538453	0.0173463471040689	0.1032063204014556	0.0	0.0	0.0296902127688135	0.0983231485705571	0.5301041765006934	0.5585783734059148	0.7193014210678822	0.6885941338808274	0.2283434484490741	0.5045758587134606	0.5466041080666165	0.7138267715373724
