ID__PseudoAAC0	Pc1.A__PseudoAAC1	Pc1.R__PseudoAAC2	Pc1.N__PseudoAAC3	Pc1.D__PseudoAAC4	Pc1.C__PseudoAAC5	Pc1.Q__PseudoAAC6	Pc1.E__PseudoAAC7	Pc1.G__PseudoAAC8	Pc1.H__PseudoAAC9	Pc1.I__PseudoAAC10	Pc1.L__PseudoAAC11	Pc1.K__PseudoAAC12	Pc1.M__PseudoAAC13	Pc1.F__PseudoAAC14	Pc1.P__PseudoAAC15	Pc1.S__PseudoAAC16	Pc1.T__PseudoAAC17	Pc1.W__PseudoAAC18	Pc1.Y__PseudoAAC19	Pc1.V__PseudoAAC20	Pc2.Hydrophobicity.1__PseudoAAC21	Pc2.Hydrophilicity.1__PseudoAAC22	Pc2.Hydrophobicity.2__PseudoAAC23	Pc2.Hydrophilicity.2__PseudoAAC24	Pc2.Hydrophobicity.3__PseudoAAC25	Pc2.Hydrophilicity.3__PseudoAAC26	Pc2.Hydrophobicity.4__PseudoAAC27	Pc2.Hydrophilicity.4__PseudoAAC28	Pc1.A__APseudoAAC1	Pc1.R__APseudoAAC2	Pc1.N__APseudoAAC3	Pc1.D__APseudoAAC4	Pc1.C__APseudoAAC5	Pc1.Q__APseudoAAC6	Pc1.E__APseudoAAC7	Pc1.G__APseudoAAC8	Pc1.H__APseudoAAC9	Pc1.I__APseudoAAC10	Pc1.L__APseudoAAC11	Pc1.K__APseudoAAC12	Pc1.M__APseudoAAC13	Pc1.F__APseudoAAC14	Pc1.P__APseudoAAC15	Pc1.S__APseudoAAC16	Pc1.T__APseudoAAC17	Pc1.W__APseudoAAC18	Pc1.Y__APseudoAAC19	Pc1.V__APseudoAAC20	Pc2.Hydrophobicity.1__APseudoAAC21	Pc2.Hydrophilicity.1__APseudoAAC22	Pc2.Hydrophobicity.2__APseudoAAC23	Pc2.Hydrophilicity.2__APseudoAAC24	Pc2.Hydrophobicity.3__APseudoAAC25	Pc2.Hydrophilicity.3__APseudoAAC26	Pc2.Hydrophobicity.4__APseudoAAC27	Pc2.Hydrophilicity.4__APseudoAAC28
1|1	0.0921968953248426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2278216772241425	0.0773889437995336	0.1915757194523266	0.6564241574383456	0.0	0.4403956422724033	0.0	0.1181071823742137	0.0	0.1441808948638879	0.0	0.0	0.3357685231587855	0.4720628952160335	0.3346250763604266	0.3321544002644078	0.619875850002951	0.6949975828265093	0.3786815731228293	0.3883069848963014	0.0921968953248426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2278216772241425	0.0773889437995336	0.1915757194523266	0.6564241574383456	0.0	0.4403956422724033	0.0	0.1181071823742137	0.0	0.1441808948638879	0.0	0.0	0.3357685231587855	0.4720628952160335	0.3346250763604266	0.3321544002644078	0.619875850002951	0.6949975828265093	0.3786815731228293	0.3883069848963014
3|1	0.0818802742255195	0.0	0.1435988480552444	0.0	0.6413496311721317	0.0	0.0840754175365919	0.2272974665415679	0.0	0.137458597016807	0.2552082538425946	0.2498450571306423	0.0	0.0	0.1074392041617325	0.3146737787665491	0.2397527424558437	0.0	0.4672551845692244	0.3758437854049871	0.5140515301679374	0.6218015226611914	0.4457192511986445	0.3897063380494709	0.4788645401377074	0.5742368998157791	0.488177048942651	0.5285894673535066	0.0818802742255195	0.0	0.1435988480552444	0.0	0.6413496311721317	0.0	0.0840754175365919	0.2272974665415679	0.0	0.137458597016807	0.2552082538425946	0.2498450571306423	0.0	0.0	0.1074392041617325	0.3146737787665491	0.2397527424558437	0.0	0.4672551845692244	0.3758437854049871	0.5140515301679374	0.6218015226611914	0.4457192511986445	0.3897063380494709	0.4788645401377074	0.5742368998157791	0.488177048942651	0.5285894673535066
4|1	0.3105289175847245	0.1935437508336006	0.1361487711014241	0.0	0.0	0.1078540618117023	0.1594269721863283	0.3232575103826329	0.0	0.2606541670022911	0.1613118331898325	0.3948046700325384	0.0	0.0	0.0509325660088422	0.3977975112114639	0.1136570442438421	0.1214041347616184	0.0	0.0	0.5059555041801148	0.6558562469642545	0.3941860491185534	0.3666077423148228	0.5251659470837736	0.6487939502537826	0.5593142004749929	0.5953778629856945	0.3105289175847245	0.1935437508336006	0.1361487711014241	0.0	0.0	0.1078540618117023	0.1594269721863283	0.3232575103826329	0.0	0.2606541670022911	0.1613118331898325	0.3948046700325384	0.0	0.0	0.0509325660088422	0.3977975112114639	0.1136570442438421	0.1214041347616184	0.0	0.0	0.5059555041801148	0.6558562469642545	0.3941860491185534	0.3666077423148228	0.5251659470837736	0.6487939502537826	0.5593142004749929	0.5953778629856945
7|1	0.1150844762421138	0.7890173161536915	0.1009156257335668	0.2379259423463842	0.0	0.0799431390205246	0.0590848985519157	0.1597357247244231	0.1421888356845551	0.1449007480032774	0.0597834429678903	0.0	0.1692053185879904	0.0	0.0	0.0737134541031867	0.0	0.0	0.0	0.0880427461544934	0.7427176486757856	0.7467656397981117	0.5054213027680425	0.4259159342207234	0.7727856993899843	0.7749414055364933	0.6964823936378941	0.6565139158944829	0.1150844762421138	0.7890173161536915	0.1009156257335668	0.2379259423463842	0.0	0.0799431390205246	0.0590848985519157	0.1597357247244231	0.1421888356845551	0.1449007480032774	0.0597834429678903	0.0	0.1692053185879904	0.0	0.0	0.0737134541031867	0.0	0.0	0.0	0.0880427461544934	0.7427176486757856	0.7467656397981117	0.5054213027680425	0.4259159342207234	0.7727856993899843	0.7749414055364933	0.6964823936378941	0.6565139158944829
8|1	0.1537087892705975	0.0	0.0	0.0	0.0	0.0	0.0	0.1066728791422684	0.1899098340152248	0.0	0.3992389302658857	0.0781697863130856	0.0	0.24473955344965	0.0	0.0984529465061629	0.0	0.0	0.0	0.0	0.543112587033138	0.6445935079724107	0.39411923454775	0.3157898972081807	0.5912817754336529	0.6557501228861852	0.5815850855883918	0.5729077987799724	0.1537087892705975	0.0	0.0	0.0	0.0	0.0	0.0	0.1066728791422684	0.1899098340152248	0.0	0.3992389302658857	0.0781697863130856	0.0	0.24473955344965	0.0	0.0984529465061629	0.0	0.0	0.0	0.0	0.543112587033138	0.6445935079724107	0.39411923454775	0.3157898972081807	0.5912817754336529	0.6557501228861852	0.5815850855883918	0.5729077987799724
9|1	0.3325676542146101	0.3109197930901196	0.1458114683217826	0.1145918706945785	0.0	0.0	0.170741760770409	0.576999359519529	0.0	0.4187298185726811	0.08638019669515	0.5919544292676678	0.2444822174150521	0.1323809451146503	0.0545473321210736	0.106507460066027	0.0	0.1300203814306921	0.0	0.2544232768424203	0.4153519713710339	0.5621057195394071	0.3220338986116217	0.2874099768667569	0.5863370627890843	0.7103783979469993	0.5218408807009127	0.5686203590915302	0.3325676542146101	0.3109197930901196	0.1458114683217826	0.1145918706945785	0.0	0.0	0.170741760770409	0.576999359519529	0.0	0.4187298185726811	0.08638019669515	0.5919544292676678	0.2444822174150521	0.1323809451146503	0.0545473321210736	0.106507460066027	0.0	0.1300203814306921	0.0	0.2544232768424203	0.4153519713710339	0.5621057195394071	0.3220338986116217	0.2874099768667569	0.5863370627890843	0.7103783979469993	0.5218408807009127	0.5686203590915302
11|1	0.2515216867966516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.348424227924789	0.3411020992497373	0.0	0.2669867073601815	0.0	0.0	0.0	0.0	0.0	0.0	0.4514677267382984	0.5983246062400057	0.2447395601076163	0.1833586310402778	0.5125947422805146	0.6138978106428462	0.6351613152623492	0.6506693812583905	0.2515216867966516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.348424227924789	0.3411020992497373	0.0	0.2669867073601815	0.0	0.0	0.0	0.0	0.0	0.0	0.4514677267382984	0.5983246062400057	0.2447395601076163	0.1833586310402778	0.5125947422805146	0.6138978106428462	0.6351613152623492	0.6506693812583905
12|1	0.2524860445322368	0.4196461226820698	0.1476004873692939	0.1159978440499124	0.1098703313862995	0.7015551573200518	0.4320916487924653	0.2336315178965388	0.6239016394028659	0.1412891272287549	0.699520238181701	0.1712049583438844	0.2474818672283855	0.13400517971748	0.110433190179492	0.2156284851273625	0.1232169412006467	0.0	0.0	0.1287724487389446	0.4517261393464428	0.619376994970979	0.3754192696852823	0.3081771927007021	0.5346139328626431	0.6756000424437766	0.45871614737398	0.5139904394565927	0.2524860445322368	0.4196461226820698	0.1476004873692939	0.1159978440499124	0.1098703313862995	0.7015551573200518	0.4320916487924653	0.2336315178965388	0.6239016394028659	0.1412891272287549	0.699520238181701	0.1712049583438844	0.2474818672283855	0.13400517971748	0.110433190179492	0.2156284851273625	0.1232169412006467	0.0	0.0	0.1287724487389446	0.4517261393464428	0.619376994970979	0.3754192696852823	0.3081771927007021	0.5346139328626431	0.6756000424437766	0.45871614737398	0.5139904394565927
14|1	0.0790438708043879	0.0	0.0	0.0	0.0	0.0	0.0811629724551668	0.2194236859782865	0.5859603132240776	0.1326969124898528	0.3284901593333176	0.0803967361848198	0.0	0.0	0.1037174173317488	0.2025154715191831	0.0	0.0	0.0	0.8465898747909238	0.5413677555649173	0.6185309932411301	0.3883699884557239	0.3188884893466662	0.5538442155809425	0.6300564611642159	0.5659859143159629	0.5653383488760961	0.0790438708043879	0.0	0.0	0.0	0.0	0.0	0.0811629724551668	0.2194236859782865	0.5859603132240776	0.1326969124898528	0.3284901593333176	0.0803967361848198	0.0	0.0	0.1037174173317488	0.2025154715191831	0.0	0.0	0.0	0.8465898747909238	0.5413677555649173	0.6185309932411301	0.3883699884557239	0.3188884893466662	0.5538442155809425	0.6300564611642159	0.5659859143159629	0.5653383488760961
15|1	0.0	0.1020065609085507	0.1435134728159942	0.1127858974958524	0.6409683232511705	0.0	0.0840254313494849	0.3407434937058987	0.0	0.206065308602339	0.0850188407875576	0.1664643428566344	0.0	0.1302946152777258	0.1073753272721586	0.4193155902155581	0.0	0.0	0.2334886913682268	0.5008271083904334	0.5530202073752283	0.6388417788472189	0.4382711753351095	0.3696169340995078	0.4739642313695263	0.5630243094628898	0.494087303707565	0.5165614018273837	0.0	0.1020065609085507	0.1435134728159942	0.1127858974958524	0.6409683232511705	0.0	0.0840254313494849	0.3407434937058987	0.0	0.206065308602339	0.0850188407875576	0.1664643428566344	0.0	0.1302946152777258	0.1073753272721586	0.4193155902155581	0.0	0.0	0.2334886913682268	0.5008271083904334	0.5530202073752283	0.6388417788472189	0.4382711753351095	0.3696169340995078	0.4739642313695263	0.5630243094628898	0.494087303707565	0.5165614018273837
