protein	pc.1	pc.2	pc.3	pc.4	pc.5	pc.6	pc.7	pc.8	pc.9	pc.10	
1|1	-0.3690193654667944	-0.39947870293467286	-0.13345553015388203	0.17981560466000224	0.32590297354232756	0.031586758763693955	0.23817304196520994	-0.3376491393498619	-0.34532452456308127	0.10152045577711649	
3|1	0.59920223311587	0.2140390323725946	-0.4312372227169694	0.055715608695621574	0.22942372919875859	-0.34838839480653844	0.05171498739328606	0.20810396073691387	0.2677471224494098	0.047952189101964394	
4|1	0.16129711981365363	-0.29538802496314553	-0.10065133482622743	0.09314809054440239	-0.05515137585595731	0.0991561949173027	-0.14956051887427027	-0.12115431138478457	-0.00961165440794167	-0.31321488229671984	
7|1	0.16813175983786308	-0.12380126286073695	0.6820230408002178	0.4026694393746523	-0.3256447016153059	0.5051381554631358	0.018673391156820394	0.5998115065837836	-0.09057797025005347	-0.3220516074408218	
8|1	-0.6666456797427869	0.08765252740026094	-0.07293751012367397	-0.19779415298264297	-0.0604925431603402	-0.408845836985456	0.08359722798103505	0.13216783406176785	-0.38828692166673523	-0.012704455799934247	
9|1	0.06544491053877846	-0.5142719821144136	-0.2003107438639746	0.17360847850395633	-0.14970010658820776	0.3739898493784855	0.05072762919587444	-0.0653948669297836	0.1511403265605312	-0.2392148534009174	
11|1	-0.8804389110329968	-0.17412248002395608	-0.17629737919545568	0.03821583581477346	0.22004728581527871	-0.2195646123485713	0.001862871249561397	0.0635044489817148	-0.12182612826329449	0.11754303456214005	
12|1	0.4276146503199389	-0.5593455406628837	0.33434666882971426	-0.10877232041375628	-0.34307592418514177	-0.20123709987981075	-0.27089607181669734	0.08781306117360618	-0.2160296519905444	0.0061501443877459185	
14|1	-0.046902735454249424	-0.07437643846110073	-0.16538445844832364	-0.53640299120919	-0.6985294792520504	0.06259904833975347	0.5289906459851211	0.15721112869233486	0.33698414395528076	0.023749541159908277	
15|1	0.678319775940432	0.19024663659917107	-0.4336269955222309	0.09744486956465555	0.03680303273265216	-0.013596466268428675	0.3459624067549074	0.21371052648801053	0.0696915187083174	-0.05734025352620187	
16|1	-0.41054384987127657	0.3124509163046527	0.1688612055484694	0.07987040150032593	-0.020926687022864633	-0.0019232502644601318	0.05192754038272139	-0.2580689156093648	-0.07528912684856999	0.046951828337783004	
17|1	0.6136272677478499	0.2802266444649289	-0.4315990266252192	0.2660278133080422	0.15943741607841624	-0.00424892613734195	0.21203197997653708	0.06758471700607305	0.06211561129574082	-0.10441998714050081	
18|1	-0.11444673091863064	-0.0020725813285370947	-0.37675820382324093	-0.1020708011098544	0.17010376822002635	0.07233057538805321	0.24092461924424718	0.015141722269911319	-0.2350193765550096	0.1873562953543743	
19|1	-0.1924799070637878	0.15624241590032867	-0.26446870570157033	-0.17080894660808216	0.3390156323451591	-0.3191908159151205	0.021035563681675404	0.2214756203191534	-0.16737946474120283	-0.019578880028362673	
20|1	-0.7133209267446121	-0.12924537631692412	-0.0371748218845126	0.01809571238109573	-0.0603529746140177	0.0057834028460121015	-0.1948131884360079	0.04252858080036353	0.026484266201162572	-0.36444365725555405	
21|1	-0.8501540208174787	-0.5407436054904133	-0.31161027957546517	0.20533781930227754	0.2862782713552948	-0.10492071159470112	-0.21951158949176058	0.02347544853596386	0.10604700715466908	0.03321350458743884	
23|1	-0.4130807047583709	-0.2581401365676271	0.1958176669225001	0.5078880481574082	0.039010065974440816	0.22033497337560864	-0.16121679268169697	-0.052358930533874214	0.03402754341394617	-0.14369606675068383	
24|1	-0.5539041542251987	0.23944977708517326	-0.2616509276783128	-0.4153791394160338	-0.16141800471452086	-0.3201523272154048	0.41972242553482514	0.1819686927612041	-0.35545901484738196	-0.3123102331616987	
25|1	-0.5353949918550949	-0.03940713711411545	0.4204224197485128	0.5810081090943953	-0.12130063461076283	0.5268798019762636	-0.0019242124495230906	0.5423032833024309	0.13634059960472297	-0.2285580238702301	
28|1	0.787890002506698	0.024999159588119154	-0.2858186331617541	0.28722573009578706	0.3468150596288752	-0.43947679479001817	0.10335625182680025	0.007369927269881686	0.25408521329230804	-0.11485889721285904	
29|1	-0.13449634328712048	0.10481999451032067	0.263951569616655	0.13899470811807788	0.2971473253401129	-0.059946355408714014	0.3587118095736433	-0.16531817286135922	0.010303063758949333	0.446921235908336	
30|1	-0.43635172133643657	0.21276378815439353	-0.013326506685133015	-0.23094891257731737	-0.29754588028459017	-0.15456432113084684	0.21640638283617064	0.4022603314843675	-0.1729443153874512	-0.15539877800336724	
31|1	0.07595103510302624	0.7112406761105723	-0.10700920313489339	0.14580589163284466	0.18795168230766465	0.23887060683934142	-0.23225201239842033	-0.2243226492182624	-0.08208589674381309	-0.10100449324937091	
32|1	0.7698793430571046	0.5719580274181159	-0.5746420087080383	0.2183761380951875	-0.023379010775069407	0.1315264244332496	-0.29298585772836344	0.1687807228670567	-0.12630438473599073	0.033940365245389424	
33|1	0.1410316029303772	-0.0009689597449171661	0.05708558736671697	0.0405901754700203	-0.44192349158961103	-0.29051204608586095	-0.2927650419179813	0.010953223288320347	-0.06966774744222531	-0.11529392918916968	
36|1	0.2461514316628202	-0.09445740643189565	0.09801418506112917	0.3198932622204791	-0.4680035171439069	0.06514672846012365	0.01429212010682566	0.30861074547821216	-0.04860018882755474	-0.037936411514092085	
38|1	-0.709722279709911	-0.03751068576370837	-0.016744185717833874	-0.08775267200334175	0.0461699159045587	-0.4188805223353859	-0.2964756563067061	0.11115614610182313	-0.25086673633130835	0.4981776044263964	
39|1	-0.015225133614434925	-0.19634145908385725	-0.35950433132198856	-0.10966648148467441	-0.07542225036760904	-0.210721765501029	-0.19310822808189002	0.0033302064122641265	0.3188246018557439	-0.1333616095888106	
40|1	-0.33990553137255636	-0.15913730636710996	-0.19745923343732463	-0.1875873236870164	0.149380785253808	0.5524980562476607	0.15172489872567876	0.09711272530517788	0.394126335512714	-0.013721636460346144	
41|1	-0.252511659888302	-0.32899119748070793	-0.20555520780601383	0.1733693719130886	0.1417807749368487	0.010880076048437617	0.2399697477801918	-0.3162788274908704	-0.2681420807554783	-0.018010306298165767	
42|1	0.0019178957183955765	0.4897100009694674	-0.12161824970113093	0.28157931894106036	-0.055084597953440506	-0.009519805881058942	0.11517154964424213	-0.3014757645850955	-0.10954991130726813	-0.089469622483072	
43|1	-0.3605480239467652	0.18669901536077943	-0.01690930435147501	-0.41658704339149566	-0.3035387838729962	-0.32860748765786074	-0.22054959607820612	-0.007931396059872064	-0.3684857315766052	-0.36710764922992783	
45|1	-0.8609927845715589	-0.0009486832600400513	-0.11226925330975729	0.05324229720111333	0.14904845040516873	-0.18086073511714842	-0.10811859062329261	0.036673378882962744	0.0019194754521745425	0.0691367268559642	
48|1	-0.8559171446275008	-0.10258740754052618	-0.13002873710260487	0.154852078314645	0.18883237226650468	-0.0696116157611967	-0.1233745014816699	0.004095565853532895	0.05830051852917122	0.011619910313912959	
51|1	0.6979900092457043	0.457942730397338	-0.4959192053928885	0.37278711780896107	-0.10305729513324413	0.01056258056538816	-0.11426284160811036	0.10518408226910639	-0.18370303247188588	0.1751796125753265	
53|1	0.24107094598272155	0.6123982361566775	-0.023424372261111392	-0.2183827608044158	-0.10438068131706386	-0.412410787929765	0.12802852190463385	0.07301346750497384	0.30626168818348076	-0.012214576098330964	
54|1	-0.8333384029687665	-0.18648990562331877	-0.1662719804070198	0.062405653006122976	0.20467201406727245	-0.20590292467898663	-0.02826754827357119	0.0014731046792949083	-0.10388971203600961	0.15395373018313893	
55|1	-0.4664040094213824	0.6195565792526687	0.5456101292029915	-0.09498364658830674	0.2918539582889412	-0.7144255521675512	0.13831272161064	0.46480646078303506	0.5532702205139166	-0.22874398794378334	
56|1	-0.02817511501647951	-0.2923695395884866	-0.24396601153531308	-0.029946961574244046	-0.03998707506540738	-0.35177169590963797	0.11343426753320335	-0.0883805917459859	0.09884861913062745	-0.07196000862578049	
57|1	-0.6624553688096455	0.39559524500761056	0.07814782572122943	0.06830392361838702	0.2593436630156748	-0.060875072539482884	0.08059040218149308	-0.2923240083099939	-0.22099220473866024	0.45560009497762144	
58|1	0.8053448982566136	0.5511956509915344	-0.5862558476025378	0.13241376921159304	-0.07180978914451279	0.15176508305827519	-0.148144790596426	0.2266843112079155	-0.11279537348531535	-0.01697758074240006	
59|1	-0.3882636327490231	-0.40902958990074856	-0.00841153248087476	0.2640963512615948	-0.21875329332589524	0.188648721377726	0.10609293799493326	0.3946537214705652	0.20297841415205897	0.04490668949717043	
60|1	-0.5678537074834212	0.9540093265668221	0.1964124977414159	-0.22545470576607604	-0.5920080789835593	0.2660904264690178	0.0009292682624130583	-0.38198271474689577	0.3370366652796368	-0.031919677977659024	
