ID__NMBroto0	CIDH920105.lag1__NMBroto1	CIDH920105.lag2__NMBroto2	CIDH920105.lag3__NMBroto3	CIDH920105.lag4__NMBroto4	BHAR880101.lag1__NMBroto5	BHAR880101.lag2__NMBroto6	BHAR880101.lag3__NMBroto7	BHAR880101.lag4__NMBroto8	CHAM820101.lag1__NMBroto9	CHAM820101.lag2__NMBroto10	CHAM820101.lag3__NMBroto11	CHAM820101.lag4__NMBroto12	CHAM820102.lag1__NMBroto13	CHAM820102.lag2__NMBroto14	CHAM820102.lag3__NMBroto15	CHAM820102.lag4__NMBroto16	CHOC760101.lag1__NMBroto17	CHOC760101.lag2__NMBroto18	CHOC760101.lag3__NMBroto19	CHOC760101.lag4__NMBroto20	BIGC670101.lag1__NMBroto21	BIGC670101.lag2__NMBroto22	BIGC670101.lag3__NMBroto23	BIGC670101.lag4__NMBroto24	CHAM810101.lag1__NMBroto25	CHAM810101.lag2__NMBroto26	CHAM810101.lag3__NMBroto27	CHAM810101.lag4__NMBroto28	DAYM780201.lag1__NMBroto29	DAYM780201.lag2__NMBroto30	DAYM780201.lag3__NMBroto31	DAYM780201.lag4__NMBroto32	Pc1.A__PseudoAAC1	Pc1.R__PseudoAAC2	Pc1.N__PseudoAAC3	Pc1.D__PseudoAAC4	Pc1.C__PseudoAAC5	Pc1.Q__PseudoAAC6	Pc1.E__PseudoAAC7	Pc1.G__PseudoAAC8	Pc1.H__PseudoAAC9	Pc1.I__PseudoAAC10	Pc1.L__PseudoAAC11	Pc1.K__PseudoAAC12	Pc1.M__PseudoAAC13	Pc1.F__PseudoAAC14	Pc1.P__PseudoAAC15	Pc1.S__PseudoAAC16	Pc1.T__PseudoAAC17	Pc1.W__PseudoAAC18	Pc1.Y__PseudoAAC19	Pc1.V__PseudoAAC20	Pc2.Hydrophobicity.1__PseudoAAC21	Pc2.Hydrophilicity.1__PseudoAAC22	Pc2.Hydrophobicity.2__PseudoAAC23	Pc2.Hydrophilicity.2__PseudoAAC24	Pc2.Hydrophobicity.3__PseudoAAC25	Pc2.Hydrophilicity.3__PseudoAAC26	Pc2.Hydrophobicity.4__PseudoAAC27	Pc2.Hydrophilicity.4__PseudoAAC28
1|1	0.299584780732452	0.462095361605242	0.5183548423245115	0.4015850214516632	0.5290815429322007	0.3434034509332309	0.6248315855617244	0.4625592832157781	0.3226104642859033	0.198154308640846	0.3837205458841329	0.358783717855112	0.418389647716877	0.5905910786753592	0.4074640681587804	0.5194224557729602	0.3518126275861069	0.2552354413965775	0.3453234666692087	0.5202125047434094	0.5116269079012558	0.4057545561972833	0.4523513289311032	0.4960232777465903	0.4309879171311703	0.4469654551797092	0.4020632611650783	0.4398822557432036	0.7202000196821337	0.3675652570386412	0.4111088466146054	0.4207411283513168	0.0921968953248426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2278216772241425	0.0773889437995336	0.1915757194523266	0.6564241574383456	0.0	0.4403956422724033	0.0	0.1181071823742137	0.0	0.1441808948638879	0.0	0.0	0.3357685231587855	0.4720628952160335	0.3346250763604266	0.3321544002644078	0.619875850002951	0.6949975828265093	0.3786815731228293	0.3883069848963014
3|1	0.4121642356086663	0.4162354936249974	0.3793305667976142	0.4359241807339871	0.5353609906003299	0.2422405123884039	0.6294857194621669	0.5472777387491102	0.2667229736679546	0.21018837808435	0.4083041182311026	0.3767818705455183	0.1999850018867265	0.6440380520699904	0.3434290126924151	0.5043730040251131	0.2828906004932122	0.2742889951188094	0.3891122275600245	0.5400831533111271	0.3582707245387887	0.3349489424970103	0.4613584360595885	0.4709674624118689	0.3258459381809403	0.3844900496168333	0.4250810387251937	0.4216276550899953	0.4966294346307142	0.313528331440116	0.3733975235245287	0.3802739448993571	0.0818802742255195	0.0	0.1435988480552444	0.0	0.6413496311721317	0.0	0.0840754175365919	0.2272974665415679	0.0	0.137458597016807	0.2552082538425946	0.2498450571306423	0.0	0.0	0.1074392041617325	0.3146737787665491	0.2397527424558437	0.0	0.4672551845692244	0.3758437854049871	0.5140515301679374	0.6218015226611914	0.4457192511986445	0.3897063380494709	0.4788645401377074	0.5742368998157791	0.488177048942651	0.5285894673535066
4|1	0.3664431696358924	0.4965834510898339	0.3418171490112265	0.5484140801807194	0.6459695851409951	0.3946743465821649	0.6658582054677721	0.5842124131729	0.2668158390771766	0.181278879897911	0.3711786583521303	0.3513594000381076	0.4735646756861176	0.6413555846550831	0.4161756399303474	0.5593215356968276	0.2630766409443422	0.2241034045925796	0.3212193900336523	0.4945712247214512	0.3469533714951045	0.334915879820133	0.3763203148454307	0.4309339862790244	0.4244366256072283	0.4933889041789758	0.2219473317776369	0.3860018032093056	0.621489609473667	0.2896015694705934	0.4120707053133373	0.3281592648999757	0.3105289175847245	0.1935437508336006	0.1361487711014241	0.0	0.0	0.1078540618117023	0.1594269721863283	0.3232575103826329	0.0	0.2606541670022911	0.1613118331898325	0.3948046700325384	0.0	0.0	0.0509325660088422	0.3977975112114639	0.1136570442438421	0.1214041347616184	0.0	0.0	0.5059555041801148	0.6558562469642545	0.3941860491185534	0.3666077423148228	0.5251659470837736	0.6487939502537826	0.5593142004749929	0.5953778629856945
7|1	0.4263901319021999	0.3981924922338484	0.5000517835023941	0.6148903205300039	0.7292629456947832	0.5387605069846901	0.7762811415316178	0.7135417323960846	0.3150477480180247	0.2644996274947734	0.3696878022470453	0.3992656682671117	0.5246655595340689	0.6655536856462618	0.475047179438948	0.5517116275658592	0.3192982583139088	0.3492303865680974	0.3469019238370441	0.5608518047277841	0.3690415986598595	0.4286598285290001	0.3994100141032542	0.4891668382840258	0.3994459759195721	0.4565401578131418	0.3591089441277992	0.3587063915542631	0.6014086784150259	0.3750965715516039	0.4370073365863059	0.4549686363079147	0.1150844762421138	0.7890173161536915	0.1009156257335668	0.2379259423463842	0.0	0.0799431390205246	0.0590848985519157	0.1597357247244231	0.1421888356845551	0.1449007480032774	0.0597834429678903	0.0	0.1692053185879904	0.0	0.0	0.0737134541031867	0.0	0.0	0.0	0.0880427461544934	0.7427176486757856	0.7467656397981117	0.5054213027680425	0.4259159342207234	0.7727856993899843	0.7749414055364933	0.6964823936378941	0.6565139158944829
8|1	0.4287462768386084	0.3286226012561614	0.4493077246262936	0.5732177015144408	0.6731348571182478	0.3145207426389713	0.6506426709343641	0.5628697304092837	0.2752301504595958	0.1066170241216897	0.2416427234625827	0.3574780522946628	0.4183226334428582	0.5500462798766765	0.4095380558814591	0.5498764691128165	0.2912860196995361	0.1710936224706805	0.1815129846463422	0.5005072037818304	0.3540156421539979	0.2139062217173556	0.2923613268454273	0.495562668488376	0.3586881331041063	0.3535973467365599	0.4113630256928167	0.4732920613837557	0.5061014613984158	0.3440647570541848	0.4330700441908209	0.5216512324196065	0.1537087892705975	0.0	0.0	0.0	0.0	0.0	0.0	0.1066728791422684	0.1899098340152248	0.0	0.3992389302658857	0.0781697863130856	0.0	0.24473955344965	0.0	0.0984529465061629	0.0	0.0	0.0	0.0	0.543112587033138	0.6445935079724107	0.39411923454775	0.3157898972081807	0.5912817754336529	0.6557501228861852	0.5815850855883918	0.5729077987799724
9|1	0.2839862075447483	0.3786881605960619	0.4539656345499648	0.4980714469507805	0.5659204796323394	0.2931325431465392	0.7285740337140991	0.5446528112134696	0.2851397124816401	0.2417255453506966	0.4200091965334342	0.394475747451263	0.4469375659946626	0.6319914464168225	0.4157657044518338	0.5358301167713184	0.3012507661198861	0.3079809356959092	0.3417587663687649	0.5449289655410328	0.3720754257171609	0.419485389193423	0.4231728979021645	0.491666818900247	0.3562388774259202	0.4567715284931786	0.2644439999498581	0.3516983562235127	0.5075530187472324	0.2608571754245981	0.4753368552264498	0.387477454011283	0.3325676542146101	0.3109197930901196	0.1458114683217826	0.1145918706945785	0.0	0.0	0.170741760770409	0.576999359519529	0.0	0.4187298185726811	0.08638019669515	0.5919544292676678	0.2444822174150521	0.1323809451146503	0.0545473321210736	0.106507460066027	0.0	0.1300203814306921	0.0	0.2544232768424203	0.4153519713710339	0.5621057195394071	0.3220338986116217	0.2874099768667569	0.5863370627890843	0.7103783979469993	0.5218408807009127	0.5686203590915302
11|1	0.3974316448322305	0.3912233318749281	0.4511833884321835	0.5770807292379341	0.6180272792431043	0.3151031971853683	0.7090829483346923	0.6596031789434027	0.1820109122733394	0.1434522395498507	0.3711644744356873	0.3815380011297699	0.4181232425905705	0.5672582385250877	0.3947819978596534	0.542405265632768	0.1843535395945234	0.1809752407753553	0.3319418706719983	0.545981929160125	0.2839630112101874	0.3222016043316863	0.4259625228181562	0.5255953596884896	0.4191649833694577	0.444392769880562	0.3284520379138139	0.4795963389592449	0.5173202775180831	0.396515522833487	0.477344375239222	0.5363963578362827	0.2515216867966516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.348424227924789	0.3411020992497373	0.0	0.2669867073601815	0.0	0.0	0.0	0.0	0.0	0.0	0.4514677267382984	0.5983246062400057	0.2447395601076163	0.1833586310402778	0.5125947422805146	0.6138978106428462	0.6351613152623492	0.6506693812583905
12|1	0.3853042054846348	0.3737962737912489	0.4891637458932047	0.4874546681129724	0.5222945571737212	0.2352550877593125	0.6533399436763202	0.5803744829035407	0.2131500554155719	0.1919649471484579	0.3527843216746056	0.3748403400268754	0.4267978215046368	0.621927647674969	0.4060714738351593	0.5288230776314193	0.2301710478267933	0.2257643999641337	0.3090530508370777	0.5097158843894262	0.3206542373248759	0.3273810561034014	0.4211357265115228	0.4731141050093783	0.4211211827791669	0.4399723059329815	0.4412876294428702	0.3890234207590566	0.4163022738331503	0.3114963880656559	0.3754973591513679	0.4290130996434277	0.2524860445322368	0.4196461226820698	0.1476004873692939	0.1159978440499124	0.1098703313862995	0.7015551573200518	0.4320916487924653	0.2336315178965388	0.6239016394028659	0.1412891272287549	0.699520238181701	0.1712049583438844	0.2474818672283855	0.13400517971748	0.110433190179492	0.2156284851273625	0.1232169412006467	0.0	0.0	0.1287724487389446	0.4517261393464428	0.619376994970979	0.3754192696852823	0.3081771927007021	0.5346139328626431	0.6756000424437766	0.45871614737398	0.5139904394565927
14|1	0.409507855673733	0.309265444969949	0.5473427344810399	0.6579355117132539	0.521383300845837	0.2569935420649255	0.6372095810903676	0.5972080580543585	0.2689229434573088	0.1895259383882271	0.4189508230418161	0.3703492523859673	0.4294686658868102	0.6012676394993497	0.45371953431527	0.5865236332296303	0.2878761829614936	0.25661629294469	0.3973373180075197	0.5119746507947137	0.335814973478343	0.2948437027621328	0.4781470234201898	0.4584386885616538	0.3297157354430339	0.3507440616561524	0.4384047930499766	0.4326200345253637	0.5365636635011236	0.2489258049648378	0.3829575900977133	0.4707611078938909	0.0790438708043879	0.0	0.0	0.0	0.0	0.0	0.0811629724551668	0.2194236859782865	0.5859603132240776	0.1326969124898528	0.3284901593333176	0.0803967361848198	0.0	0.0	0.1037174173317488	0.2025154715191831	0.0	0.0	0.0	0.8465898747909238	0.5413677555649173	0.6185309932411301	0.3883699884557239	0.3188884893466662	0.5538442155809425	0.6300564611642159	0.5659859143159629	0.5653383488760961
15|1	0.4302162546678175	0.4115818868336713	0.3889514224541789	0.4075073856202901	0.5342877240329885	0.3171093211804582	0.5759849278963333	0.5474660007851437	0.2943293912554876	0.2101824345197558	0.4118724819887275	0.395945495643856	0.1691072427506787	0.6677291964858515	0.3321280527964292	0.5072343722920363	0.3242386819359788	0.2821272505908541	0.4063472345156267	0.5662287435318083	0.3887871210544862	0.337091537898166	0.4703215662510402	0.4940669278578866	0.3422257695572147	0.4200560538561954	0.3927218025606781	0.4092403026609637	0.4994636618609459	0.2336047954735728	0.3368667763566682	0.3869273739663464	0.0	0.1020065609085507	0.1435134728159942	0.1127858974958524	0.6409683232511705	0.0	0.0840254313494849	0.3407434937058987	0.0	0.206065308602339	0.0850188407875576	0.1664643428566344	0.0	0.1302946152777258	0.1073753272721586	0.4193155902155581	0.0	0.0	0.2334886913682268	0.5008271083904334	0.5530202073752283	0.6388417788472189	0.4382711753351095	0.3696169340995078	0.4739642313695263	0.5630243094628898	0.494087303707565	0.5165614018273837
