ID__QSOrder0	Schneider.Xr.A__QSOrder1	Schneider.Xr.R__QSOrder2	Schneider.Xr.N__QSOrder3	Schneider.Xr.D__QSOrder4	Schneider.Xr.C__QSOrder5	Schneider.Xr.Q__QSOrder6	Schneider.Xr.E__QSOrder7	Schneider.Xr.G__QSOrder8	Schneider.Xr.H__QSOrder9	Schneider.Xr.I__QSOrder10	Schneider.Xr.L__QSOrder11	Schneider.Xr.K__QSOrder12	Schneider.Xr.M__QSOrder13	Schneider.Xr.F__QSOrder14	Schneider.Xr.P__QSOrder15	Schneider.Xr.S__QSOrder16	Schneider.Xr.T__QSOrder17	Schneider.Xr.W__QSOrder18	Schneider.Xr.Y__QSOrder19	Schneider.Xr.V__QSOrder20	Grantham.Xr.A__QSOrder21	Grantham.Xr.R__QSOrder22	Grantham.Xr.N__QSOrder23	Grantham.Xr.D__QSOrder24	Grantham.Xr.C__QSOrder25	Grantham.Xr.Q__QSOrder26	Grantham.Xr.E__QSOrder27	Grantham.Xr.G__QSOrder28	Grantham.Xr.H__QSOrder29	Grantham.Xr.I__QSOrder30	Grantham.Xr.L__QSOrder31	Grantham.Xr.K__QSOrder32	Grantham.Xr.M__QSOrder33	Grantham.Xr.F__QSOrder34	Grantham.Xr.P__QSOrder35	Grantham.Xr.S__QSOrder36	Grantham.Xr.T__QSOrder37	Grantham.Xr.W__QSOrder38	Grantham.Xr.Y__QSOrder39	Grantham.Xr.V__QSOrder40	Schneider.Xd.1__QSOrder41	Schneider.Xd.2__QSOrder42	Schneider.Xd.3__QSOrder43	Schneider.Xd.4__QSOrder44	Grantham.Xd.1__QSOrder45	Grantham.Xd.2__QSOrder46	Grantham.Xd.3__QSOrder47	Grantham.Xd.4__QSOrder48	Pc1.A__APseudoAAC1	Pc1.R__APseudoAAC2	Pc1.N__APseudoAAC3	Pc1.D__APseudoAAC4	Pc1.C__APseudoAAC5	Pc1.Q__APseudoAAC6	Pc1.E__APseudoAAC7	Pc1.G__APseudoAAC8	Pc1.H__APseudoAAC9	Pc1.I__APseudoAAC10	Pc1.L__APseudoAAC11	Pc1.K__APseudoAAC12	Pc1.M__APseudoAAC13	Pc1.F__APseudoAAC14	Pc1.P__APseudoAAC15	Pc1.S__APseudoAAC16	Pc1.T__APseudoAAC17	Pc1.W__APseudoAAC18	Pc1.Y__APseudoAAC19	Pc1.V__APseudoAAC20	Pc2.Hydrophobicity.1__APseudoAAC21	Pc2.Hydrophilicity.1__APseudoAAC22	Pc2.Hydrophobicity.2__APseudoAAC23	Pc2.Hydrophilicity.2__APseudoAAC24	Pc2.Hydrophobicity.3__APseudoAAC25	Pc2.Hydrophilicity.3__APseudoAAC26	Pc2.Hydrophobicity.4__APseudoAAC27	Pc2.Hydrophilicity.4__APseudoAAC28
1|1	0.0458649022928714	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1211585198996291	0.0813481845325881	0.1635698944301137	0.4169947662444873	0.0	0.406740922662941	0.0	0.1098334537250488	0.0	0.1216047155390532	0.0	0.0	0.0391808665842262	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0331792108131355	0.0867129514359947	0.1246729783508342	0.2533103418473805	0.0	0.2445331774960927	0.0	0.0783617331684524	0.0	0.0587780903211588	0.0	0.0	0.6919913139679359	0.6164625510614372	0.4410921684612456	0.7366484531821571	0.2997817931337416	0.5948169988697827	0.4640673083552948	0.8091260174609577	0.0921968953248426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2278216772241425	0.0773889437995336	0.1915757194523266	0.6564241574383456	0.0	0.4403956422724033	0.0	0.1181071823742137	0.0	0.1441808948638879	0.0	0.0	0.3357685231587855	0.4720628952160335	0.3346250763604266	0.3321544002644078	0.619875850002951	0.6949975828265093	0.3786815731228293	0.3883069848963014
3|1	0.0483482262283054	0.0	0.2033512240482357	0.0	0.3473409340911291	0.0	0.1122675152753655	0.0752083519106973	0.0	0.1715054532953755	0.2586394126454837	0.1883882846595502	0.0	0.0	0.1746192092390762	0.3473409340911292	0.1040903740794311	0.0	0.3984522491243764	0.2886437269317429	0.0098799114175488	0.0	0.0513741384070179	0.0	0.3856045212749397	0.0	0.0042080815921597	0.0501991444778196	0.0	0.0437313593919715	0.0471566132778231	0.0273750643776445	0.0	0.0	0.0179544814598814	0.059279468505293	0.0375769752039794	0.0	0.0614622054429609	0.0730630112222503	0.613445685604883	0.5068211362028553	0.7325963392102713	0.6212066159400692	0.2890988661274815	0.5596443825869402	0.5808920485765249	0.7212262817746651	0.0818802742255195	0.0	0.1435988480552444	0.0	0.6413496311721317	0.0	0.0840754175365919	0.2272974665415679	0.0	0.137458597016807	0.2552082538425946	0.2498450571306423	0.0	0.0	0.1074392041617325	0.3146737787665491	0.2397527424558437	0.0	0.4672551845692244	0.3758437854049871	0.5140515301679374	0.6218015226611914	0.4457192511986445	0.3897063380494709	0.4788645401377074	0.5742368998157791	0.488177048942651	0.5285894673535066
4|1	0.1304365060739098	0.152962141716892	0.1371530314548333	0.0	0.0	0.1025637034906617	0.1514407412690642	0.0760879618764473	0.0	0.2313484262569912	0.1162952740643818	0.2117684517888165	0.0	0.0	0.0588871643371672	0.3123584971890912	0.0351025926130525	0.0864587812470446	0.0	0.0	0.0682998219060981	0.0575771217178416	0.0887873472616894	0.0	0.0	0.0463379551662672	0.0145452328044325	0.1301349962605807	0.0	0.151157431071596	0.0543322733786399	0.0788515850768021	0.0	0.0	0.0155149149913947	0.1365996438121962	0.0324712009771034	0.0256153924791693	0.0	0.0	0.6152586266417013	0.6626326596184783	0.7357102750010068	0.757122589839228	0.2716497456017037	0.5762579037195269	0.6122354706772621	0.68055420721295	0.3105289175847245	0.1935437508336006	0.1361487711014241	0.0	0.0	0.1078540618117023	0.1594269721863283	0.3232575103826329	0.0	0.2606541670022911	0.1613118331898325	0.3948046700325384	0.0	0.0	0.0509325660088422	0.3977975112114639	0.1136570442438421	0.1214041347616184	0.0	0.0	0.5059555041801148	0.6558562469642545	0.3941860491185534	0.3666077423148228	0.5251659470837736	0.6487939502537826	0.5593142004749929	0.5953778629856945
7|1	0.0769224167147573	0.9922712403893688	0.161766716340636	0.1634280137442301	0.0	0.1209699366716716	0.0893092597933424	0.0598285463337001	0.1016006324046069	0.204649916497608	0.0685828975552928	0.0	0.1475811012897021	0.0	0.0	0.0921037032054503	0.0	0.0	0.0	0.0765390817727845	0.0464882918647381	0.4310887145668106	0.1208662628453721	0.0074251624197057	0.0	0.0630798829064661	0.0099002165596079	0.1181018928823559	0.0196836488137259	0.1543280182232728	0.0369812762612115	0.0	0.0749291359345027	0.0	0.0	0.0464882918647381	0.0	0.0	0.0	0.0572976559314685	0.5985866474315007	0.7680195724899372	0.6820383955185049	0.5594545136491627	0.3452207315292677	0.66418002668156	0.5596082350706992	0.5241783857496167	0.1150844762421138	0.7890173161536915	0.1009156257335668	0.2379259423463842	0.0	0.0799431390205246	0.0590848985519157	0.1597357247244231	0.1421888356845551	0.1449007480032774	0.0597834429678903	0.0	0.1692053185879904	0.0	0.0	0.0737134541031867	0.0	0.0	0.0	0.0880427461544934	0.7427176486757856	0.7467656397981117	0.5054213027680425	0.4259159342207234	0.7727856993899843	0.7749414055364933	0.6964823936378941	0.6565139158944829
8|1	0.1551324304041024	0.0	0.0	0.0	0.0	0.0	0.0	0.0603292784904842	0.2049019480753869	0.0	0.691568988358826	0.100745276296493	0.0	0.4585838315217648	0.0	0.185749121487735	0.0	0.0	0.0	0.0	0.0963147871347729	0.0	0.0	0.0	0.0	0.0	0.0	0.1223421878596263	0.0407807292865421	0.0	0.3830904092404854	0.0444778532064287	0.0	0.200371278051378	0.0	0.0963147871347729	0.0	0.0	0.0	0.0	0.4963376266395	0.5743007062769416	0.5215081537508162	0.2477463026724843	0.3163995117991364	0.8276320331002679	0.5457756297925505	0.3496465837739496	0.1537087892705975	0.0	0.0	0.0	0.0	0.0	0.0	0.1066728791422684	0.1899098340152248	0.0	0.3992389302658857	0.0781697863130856	0.0	0.24473955344965	0.0	0.0984529465061629	0.0	0.0	0.0	0.0	0.543112587033138	0.6445935079724107	0.39411923454775	0.3157898972081807	0.5912817754336529	0.6557501228861852	0.5815850855883918	0.5729077987799724
9|1	0.1062260081846042	0.1868559447852679	0.1116958701240356	0.0376143181381561	0.0	0.0	0.12333161862228	0.1032752857350319	0.0	0.2826112937333507	0.0473547747729223	0.2414465486548563	0.1019010578647435	0.0785031371481529	0.0479570374056444	0.0635953025683964	0.0	0.0704110488759596	0.0	0.1056966418123224	0.0592790686452378	0.0749588664096298	0.07706068780663	0.00157801995271	0.0	0.0	0.0126241596216803	0.1882455220035737	0.0	0.1967897898412582	0.0235781475952623	0.0958120790325328	0.0477725596534429	0.0308307350810033	0.0134657702631256	0.0296395343226189	0.0	0.0222322191591514	0.0	0.0730625183875396	0.7548294198877463	0.7716554787632179	0.6554806706166567	0.6476706302191252	0.3384568933562022	0.6054932064656882	0.5386273833350476	0.6440237437465323	0.3325676542146101	0.3109197930901196	0.1458114683217826	0.1145918706945785	0.0	0.0	0.170741760770409	0.576999359519529	0.0	0.4187298185726811	0.08638019669515	0.5919544292676678	0.2444822174150521	0.1323809451146503	0.0545473321210736	0.106507460066027	0.0	0.1300203814306921	0.0	0.2544232768424203	0.4153519713710339	0.5621057195394071	0.3220338986116217	0.2874099768667569	0.5863370627890843	0.7103783979469993	0.5218408807009127	0.5686203590915302
11|1	0.1950602298743877	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4637675668180273	0.3377999335056375	0.0	0.3844090598821579	0.0	0.0	0.0	0.0	0.0	0.0	0.1800158829202121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3818720416483497	0.2216819868415431	0.0	0.2496675301429224	0.0	0.0	0.0	0.0	0.0	0.0	0.5956002241353126	0.7298270867280316	0.5201309186748594	0.1892854901569912	0.4103172917426996	0.7713153785460705	0.53200090101682	0.3194174800111172	0.2515216867966516	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.348424227924789	0.3411020992497373	0.0	0.2669867073601815	0.0	0.0	0.0	0.0	0.0	0.0	0.4514677267382984	0.5983246062400057	0.2447395601076163	0.1833586310402778	0.5125947422805146	0.6138978106428462	0.6351613152623492	0.6506693812583905
12|1	0.0662287786242562	0.2071096224328459	0.0928521013150597	0.0312685551827703	0.0264331952053612	0.4166115157680125	0.2563120716761847	0.0343408481755402	0.1749525321483622	0.0783110197639629	0.3149259029960168	0.0573465873331539	0.0847097331213939	0.0652591831366358	0.0797327903173887	0.105732780821445	0.0237643269795445	0.0	0.0	0.0439324895509608	0.0337427099903819	0.0758541019478153	0.0584857690861031	0.001197649712121	0.0731638449783478	0.1831416995344253	0.0239529942424216	0.0571481228354503	0.0285740614177251	0.0497850137545245	0.1431584518627593	0.0207763639261917	0.0362573313588172	0.0233992104667828	0.0204398884201997	0.0449902799871758	0.021389344550389	0.0	0.0	0.0277256646734417	0.6253487670443588	0.7129648008198726	0.7271381410572977	0.9220059437384592	0.2838239831051473	0.6115265542576737	0.5098781624158141	0.7474680799421123	0.2524860445322368	0.4196461226820698	0.1476004873692939	0.1159978440499124	0.1098703313862995	0.7015551573200518	0.4320916487924653	0.2336315178965388	0.6239016394028659	0.1412891272287549	0.699520238181701	0.1712049583438844	0.2474818672283855	0.13400517971748	0.110433190179492	0.2156284851273625	0.1232169412006467	0.0	0.0	0.1287724487389446	0.4517261393464428	0.619376994970979	0.3754192696852823	0.3081771927007021	0.5346139328626431	0.6756000424437766	0.45871614737398	0.5139904394565927
14|1	0.0528127621521398	0.0	0.0	0.0	0.0	0.0	0.1226344386172823	0.0821531855699952	0.4185367748069269	0.1873424822228696	0.3766966677319562	0.0685947651453489	0.0	0.0	0.190743766300551	0.252943221415327	0.0	0.0	0.0	0.7356940526710289	0.0296240402641792	0.0	0.0	0.0	0.0	0.0	0.0126175603456997	0.1505176933668521	0.075258846683426	0.1311246120217203	0.1885265770005783	0.0273605695127117	0.0	0.0	0.0538349241416523	0.1184961610567168	0.0	0.0	0.0	0.5111702748322925	0.5360079227688551	0.6712662981646547	0.6109439106477739	0.5261322368432108	0.3266803647096228	0.8261531797160854	0.4516243463835466	0.4605789636701169	0.0790438708043879	0.0	0.0	0.0	0.0	0.0	0.0811629724551668	0.2194236859782865	0.5859603132240776	0.1326969124898528	0.3284901593333176	0.0803967361848198	0.0	0.0	0.1037174173317488	0.2025154715191831	0.0	0.0	0.0	0.8465898747909238	0.5413677555649173	0.6185309932411301	0.3883699884557239	0.3188884893466662	0.5538442155809425	0.6300564611642159	0.5659859143159629	0.5653383488760961
15|1	0.0	0.1049288094313953	0.1881681851330027	0.0633668726624581	0.3214070310923056	0.0	0.1038851607490015	0.1043894804576385	0.0	0.2380502259431846	0.0797761100433509	0.1162149602348381	0.0	0.1322501255239914	0.1615814207446473	0.4285427081230742	0.0	0.0	0.184351082544043	0.3561231985102366	0.0	0.0160934291152233	0.0496340503607335	0.001016387525629	0.3725437510339331	0.0	0.0040655501025161	0.0727482817912566	0.0	0.0633752086665052	0.0151864588607444	0.0176318976314967	0.0	0.0198577809415464	0.0173463471040689	0.0763621598047032	0.0	0.0	0.0296902127688135	0.0941177355236937	0.5301041765006934	0.5585783734059148	0.7855157388960277	0.6838995741879245	0.2559240016638603	0.5677975934067493	0.5874217965076418	0.7463782966061454	0.0	0.1020065609085507	0.1435134728159942	0.1127858974958524	0.6409683232511705	0.0	0.0840254313494849	0.3407434937058987	0.0	0.206065308602339	0.0850188407875576	0.1664643428566344	0.0	0.1302946152777258	0.1073753272721586	0.4193155902155581	0.0	0.0	0.2334886913682268	0.5008271083904334	0.5530202073752283	0.6388417788472189	0.4382711753351095	0.3696169340995078	0.4739642313695263	0.5630243094628898	0.494087303707565	0.5165614018273837
